date,IPBUSEQ,IPCONGD,IPDCONGD,IPN3311A2RN,IPG3361T3S,IPDMAT,IPUTIL,IPG2211A2N,IPFPNSS,IPFINAL,IPFUELS,IPGMFN,IPMAN,IPMANSICS,IPMAT,IPG211111CN,IPMINE,IPNCONGD,IPNMAT,IPB51222S,IPB50001N
1947-01-01,5.4081,20.4827,14.1105,,,7.8531,6.3451,6.7425,14.5354,13.869,,,,13.3478,13.1008,,50.4172,23.8448,,,13.9551
1947-02-01,5.4665,20.4034,14.5434,,,7.8837,6.3967,6.6134,14.593,13.8965,,,,13.3997,13.2042,,51.0017,23.4842,,,14.232
1947-03-01,5.4957,20.4827,14.8608,,,7.9448,6.4483,6.5617,14.6505,13.8965,,,,13.4515,13.6435,,51.9516,23.4391,,,14.2874
1947-04-01,5.5735,20.4035,14.9762,,,7.9906,6.5772,6.5617,14.6505,13.869,,,,13.4774,13.3076,,47.5675,23.2588,,,14.0105
1947-05-01,5.6027,20.245,14.8319,,,7.8684,6.6804,6.5359,14.6793,13.8416,,,,13.3737,13.3592,,51.5132,23.0785,,,13.9274
1947-06-01,5.6416,20.2846,14.9474,,,7.8073,6.7062,6.5359,14.6505,13.869,,,,13.3737,13.23,,51.0748,23.0785,,,14.0382
1947-07-01,5.5443,20.3638,14.6588,,,7.6545,6.7578,6.5359,14.6217,13.8416,,,,13.296,13.1008,,51.8785,23.3039,,,13.2352
1947-08-01,5.6416,20.5223,14.5145,,,7.5475,6.8352,6.7167,14.7081,13.9514,,,,13.3737,13.075,,52.7554,23.5744,,,14.232
1947-09-01,5.7194,20.7204,15.0051,,,7.6698,6.9125,6.8459,14.852,14.1437,,,,13.4256,13.2559,,53.3399,23.7096,,,14.592
1947-10-01,5.7583,21.0374,15.2071,,,7.6698,6.9641,6.8717,15.0535,14.3359,,,,13.607,13.3592,,53.1207,24.0251,,,15.0073
1947-11-01,5.7583,21.3543,15.6688,,,7.7767,7.0157,6.9492,15.255,14.5282,,,,13.8143,13.6693,,53.5591,24.2956,,,14.8965
1947-12-01,5.8069,21.3939,15.8707,,,7.8684,7.0673,7.285,15.3413,14.5556,,,,13.8403,13.5143,,53.486,24.2505,,,14.6197
1948-01-01,5.8556,21.2751,15.6976,,,8.0059,7.1963,7.6467,15.3989,14.5831,,,,13.918,13.566,,54.2167,24.1603,,,14.7027
1948-02-01,5.8264,21.3543,15.4956,,,8.0212,7.2221,7.4659,15.3989,14.5556,,,,13.918,13.6435,,54.2898,24.3857,,,14.8689
1948-03-01,5.8653,21.1166,15.6111,,,7.8684,7.3768,7.4917,15.3701,14.5007,,,,13.8921,13.5143,,48.9558,24.0251,,,14.6474
1948-04-01,5.8264,21.275,15.4668,,,7.6698,7.3252,7.3367,15.3413,14.5281,,,,13.8662,13.4109,,50.1979,24.3406,,,14.5089
1948-05-01,5.8069,21.1958,15.1782,,,7.9295,7.3768,7.1817,15.3125,14.4732,,,,14.0217,14.1086,,56.4088,24.3406,,,14.6197
1948-06-01,5.8847,21.5524,15.813,,,8.0517,7.4284,7.2334,15.4852,14.6929,,,,14.1513,14.1344,,56.4088,24.5209,,,14.8965
1948-07-01,5.9139,21.5128,16.217,,,8.0365,7.5316,7.285,15.5428,14.6929,,,,14.1772,14.2378,,56.4088,24.2505,,,14.232
1948-08-01,5.9042,21.3147,15.9573,,,7.9906,7.5832,7.4659,15.514,14.6105,,,,14.1254,14.0569,,56.2626,24.0702,,,15.0627
1948-09-01,5.875,21.1958,15.4956,,,8.0059,7.6863,7.595,15.3989,14.5281,,,,13.9958,14.0827,,55.0936,24.1152,,,15.3119
1948-10-01,5.7972,21.4335,15.9862,,,8.1892,7.7637,7.6725,15.5428,14.638,,,,14.0994,14.1086,,55.7512,24.2505,,,15.6442
1948-11-01,5.7583,21.1958,15.3802,,,8.1587,7.8411,7.7759,15.3701,14.5282,,,,13.918,13.9794,,54.8743,24.2955,,,15.1181
1948-12-01,5.7097,20.9581,14.8031,,,8.1129,7.8411,8.0859,15.2262,14.3634,,,,13.8143,13.9019,,54.8013,24.1152,,,14.6474
1949-01-01,5.5735,20.7204,14.3414,,,8.1892,7.7895,8.2667,14.9671,14.1437,,,,13.6329,13.6435,,53.413,23.98,,,14.4812
1949-02-01,5.554,20.6411,14.1394,,,8.0976,7.8153,8.0859,14.852,14.1162,,,,13.5033,13.566,,53.1938,24.0702,,,14.5089
1949-03-01,5.4276,20.7996,14.1105,,,7.8226,7.8153,7.9825,14.852,14.1162,,,,13.3737,13.0233,,48.2251,24.2955,,,14.232
1949-04-01,5.34,20.76,14.1394,,,7.517,7.8411,7.8017,14.7369,14.0613,,,,13.1146,12.8424,,52.6092,24.2054,,,13.9274
1949-05-01,5.2233,20.76,14.0528,,,7.1503,7.8411,7.6467,14.7657,14.0338,,,,12.985,12.4807,,51.6593,24.2955,,,13.6506
1949-06-01,5.1358,20.9977,14.3991,,,7.0434,7.9443,7.6984,14.7081,14.0338,,,,13.0109,12.2998,,48.079,24.3406,,,13.7059
1949-07-01,5.0385,21.1958,14.8608,,,6.9517,8.0474,7.8017,14.7657,14.0613,,,,13.0627,12.2481,,46.8368,24.4308,,,13.0137
1949-08-01,4.9899,21.3939,15.0916,,,6.9823,8.1248,7.9825,14.852,14.1711,,,,13.1923,12.4548,,46.6907,24.7012,,,14.1213
1949-09-01,4.9607,21.7109,15.6399,,,7.2573,8.1248,8.06,15.0247,14.2535,,,,13.4515,12.6616,,42.1605,24.7914,,,14.4812
1949-10-01,4.7564,21.7901,15.8707,,,5.76,8.1506,8.0084,14.9384,14.226,,,,12.9331,11.3696,,39.6761,24.8815,,,14.1766
1949-11-01,4.6105,21.4732,15.0051,,,6.2183,8.2796,8.215,14.852,14.0063,,,,13.0368,12.429,,49.8326,24.7914,,,14.1213
1949-12-01,4.6203,21.2354,14.8319,,,7.3031,8.4343,8.68,14.7944,13.869,,,,13.3737,13.0233,,47.9328,24.6111,,,14.0382
1950-01-01,4.7078,22.107,16.5633,,,7.8073,8.5375,9.0934,15.1686,14.3634,,,,13.6588,13.1267,,46.9829,25.0618,,,14.3982
1950-02-01,4.8537,22.1467,16.5344,,,7.7156,8.6149,8.8867,15.3701,14.4458,,,,13.7884,12.8941,,43.2564,25.0618,,,14.592
1950-03-01,4.9023,22.6221,17.227,,,7.6545,8.7697,8.9384,15.6579,14.7204,,,,14.0217,13.7727,,53.5591,25.4224,,,15.0627
1950-04-01,5.0482,23.256,18.4678,,,8.2198,8.8728,8.835,16.1472,15.1323,,,,14.5919,14.3412,,52.9015,25.8281,,,15.4226
1950-05-01,5.2622,23.771,19.42,,,8.6476,9.0276,8.8092,16.4638,15.4894,,,,14.9806,14.7546,,53.1207,26.0084,,,15.5611
1950-06-01,5.4665,24.4049,21.036,,,9.0754,9.0792,8.8867,16.9819,15.9837,,,,15.4213,15.3231,,54.8013,26.2338,,,16.1702
1950-07-01,5.6513,25.1577,21.9016,,,9.3962,9.1308,8.9125,17.4425,16.4506,,,,15.9137,15.7365,,55.8242,26.7747,,,15.6995
1950-08-01,5.9626,25.95,22.5653,,,9.7171,9.2339,9.1192,18.0181,17.0822,,,,16.5098,16.2016,,56.9933,27.7663,,,17.4716
