realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1919-01-01,4.9286
2019-12-23,2019-12-23,1919-02-01,4.7348
2019-12-23,2019-12-23,1919-03-01,4.6240
2019-12-23,2019-12-23,1919-04-01,4.7071
2019-12-23,2019-12-23,1919-05-01,4.8455
2019-12-23,2019-12-23,1919-06-01,5.1501
2019-12-23,2019-12-23,1919-07-01,5.3162
2019-12-23,2019-12-23,1919-08-01,5.4270
2019-12-23,2019-12-23,1919-09-01,5.4547
2019-12-23,2019-12-23,1919-10-01,5.4270
2019-12-23,2019-12-23,1919-11-01,5.3162
2019-12-23,2019-12-23,1919-12-01,4.9563
2019-12-23,2019-12-23,1920-01-01,5.6485
2019-12-23,2019-12-23,1920-02-01,5.6762
2019-12-23,2019-12-23,1920-03-01,5.6762
2019-12-23,2019-12-23,1920-04-01,5.3162
2019-12-23,2019-12-23,1920-05-01,5.6485
2019-12-23,2019-12-23,1920-06-01,5.6485
2019-12-23,2019-12-23,1920-07-01,5.3439
2019-12-23,2019-12-23,1920-08-01,5.4547
2019-12-23,2019-12-23,1920-09-01,5.3439
2019-12-23,2019-12-23,1920-10-01,5.2055
2019-12-23,2019-12-23,1920-11-01,4.7071
2019-12-23,2019-12-23,1920-12-01,4.1256
2019-12-23,2019-12-23,1921-01-01,4.0426
2019-12-23,2019-12-23,1921-02-01,3.9872
2019-12-23,2019-12-23,1921-03-01,3.8764
2019-12-23,2019-12-23,1921-04-01,3.9041
2019-12-23,2019-12-23,1921-05-01,4.0979
2019-12-23,2019-12-23,1921-06-01,4.0426
2019-12-23,2019-12-23,1921-07-01,3.9041
2019-12-23,2019-12-23,1921-08-01,4.0979
2019-12-23,2019-12-23,1921-09-01,4.2087
2019-12-23,2019-12-23,1921-10-01,4.4856
2019-12-23,2019-12-23,1921-11-01,4.3748
2019-12-23,2019-12-23,1921-12-01,4.0149
2019-12-23,2019-12-23,1922-01-01,4.3748
2019-12-23,2019-12-23,1922-02-01,4.6794
2019-12-23,2019-12-23,1922-03-01,4.9563
2019-12-23,2019-12-23,1922-04-01,4.7348
2019-12-23,2019-12-23,1922-05-01,5.0394
2019-12-23,2019-12-23,1922-06-01,5.2886
2019-12-23,2019-12-23,1922-07-01,5.1501
2019-12-23,2019-12-23,1922-08-01,5.0670
2019-12-23,2019-12-23,1922-09-01,5.4547
2019-12-23,2019-12-23,1922-10-01,5.8700
2019-12-23,2019-12-23,1922-11-01,6.0361
2019-12-23,2019-12-23,1922-12-01,5.8146
2019-12-23,2019-12-23,1923-01-01,5.8146
2019-12-23,2019-12-23,1923-02-01,6.0085
2019-12-23,2019-12-23,1923-03-01,6.2853
2019-12-23,2019-12-23,1923-04-01,6.3961
2019-12-23,2019-12-23,1923-05-01,6.5622
2019-12-23,2019-12-23,1923-06-01,6.4792
2019-12-23,2019-12-23,1923-07-01,6.2577
2019-12-23,2019-12-23,1923-08-01,6.2853
2019-12-23,2019-12-23,1923-09-01,6.2853
2019-12-23,2019-12-23,1923-10-01,6.2853
2019-12-23,2019-12-23,1923-11-01,6.1192
2019-12-23,2019-12-23,1923-12-01,5.6485
2019-12-23,2019-12-23,1924-01-01,5.8977
2019-12-23,2019-12-23,1924-02-01,6.1469
2019-12-23,2019-12-23,1924-03-01,6.1469
2019-12-23,2019-12-23,1924-04-01,5.9254
2019-12-23,2019-12-23,1924-05-01,5.7039
2019-12-23,2019-12-23,1924-06-01,5.4270
2019-12-23,2019-12-23,1924-07-01,5.2055
2019-12-23,2019-12-23,1924-08-01,5.5378
