realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1954-01-01,12.9547
2019-12-23,2019-12-23,1954-02-01,12.8720
2019-12-23,2019-12-23,1954-03-01,13.0098
2019-12-23,2019-12-23,1954-04-01,13.2579
2019-12-23,2019-12-23,1954-05-01,13.3406
2019-12-23,2019-12-23,1954-06-01,13.4509
2019-12-23,2019-12-23,1954-07-01,13.4233
2019-12-23,2019-12-23,1954-08-01,13.4509
2019-12-23,2019-12-23,1954-09-01,13.6438
2019-12-23,2019-12-23,1954-10-01,13.9470
2019-12-23,2019-12-23,1954-11-01,14.1124
2019-12-23,2019-12-23,1954-12-01,14.1675
2019-12-23,2019-12-23,1955-01-01,14.0572
2019-12-23,2019-12-23,1955-02-01,14.3329
2019-12-23,2019-12-23,1955-03-01,14.4983
2019-12-23,2019-12-23,1955-04-01,14.5258
2019-12-23,2019-12-23,1955-05-01,14.6085
2019-12-23,2019-12-23,1955-06-01,14.5534
2019-12-23,2019-12-23,1955-07-01,14.6361
2019-12-23,2019-12-23,1955-08-01,14.9668
2019-12-23,2019-12-23,1955-09-01,15.2700
2019-12-23,2019-12-23,1955-10-01,15.5181
2019-12-23,2019-12-23,1955-11-01,15.7110
2019-12-23,2019-12-23,1955-12-01,15.9040
2019-12-23,2019-12-23,1956-01-01,16.0142
2019-12-23,2019-12-23,1956-02-01,16.0969
2019-12-23,2019-12-23,1956-03-01,16.2623
2019-12-23,2019-12-23,1956-04-01,16.5655
2019-12-23,2019-12-23,1956-05-01,16.9514
2019-12-23,2019-12-23,1956-06-01,16.8963
2019-12-23,2019-12-23,1956-07-01,16.8136
2019-12-23,2019-12-23,1956-08-01,16.5931
2019-12-23,2019-12-23,1956-09-01,16.6757
2019-12-23,2019-12-23,1956-10-01,16.7584
2019-12-23,2019-12-23,1956-11-01,16.8411
2019-12-23,2019-12-23,1956-12-01,16.9514
2019-12-23,2019-12-23,1957-01-01,17.0616
2019-12-23,2019-12-23,1957-02-01,17.3097
2019-12-23,2019-12-23,1957-03-01,17.3648
2019-12-23,2019-12-23,1957-04-01,17.5026
2019-12-23,2019-12-23,1957-05-01,17.7507
2019-12-23,2019-12-23,1957-06-01,17.8885
2019-12-23,2019-12-23,1957-07-01,18.1642
2019-12-23,2019-12-23,1957-08-01,18.3295
2019-12-23,2019-12-23,1957-09-01,18.1917
2019-12-23,2019-12-23,1957-10-01,18.4122
2019-12-23,2019-12-23,1957-11-01,18.9635
2019-12-23,2019-12-23,1957-12-01,18.8808
2019-12-23,2019-12-23,1958-01-01,18.8533
2019-12-23,2019-12-23,1958-02-01,19.0738
2019-12-23,2019-12-23,1958-03-01,19.2943
2019-12-23,2019-12-23,1958-04-01,19.2667
2019-12-23,2019-12-23,1958-05-01,19.2116
2019-12-23,2019-12-23,1958-06-01,19.3769
2019-12-23,2019-12-23,1958-07-01,19.3218
2019-12-23,2019-12-23,1958-08-01,19.5423
2019-12-23,2019-12-23,1958-09-01,19.5148
2019-12-23,2019-12-23,1958-10-01,19.5148
2019-12-23,2019-12-23,1958-11-01,19.7077
2019-12-23,2019-12-23,1958-12-01,19.8180
2019-12-23,2019-12-23,1959-01-01,20.2590
2019-12-23,2019-12-23,1959-02-01,20.2038
2019-12-23,2019-12-23,1959-03-01,20.3417
2019-12-23,2019-12-23,1959-04-01,20.4243
2019-12-23,2019-12-23,1959-05-01,20.7275
2019-12-23,2019-12-23,1959-06-01,20.8378
2019-12-23,2019-12-23,1959-07-01,21.1134
2019-12-23,2019-12-23,1959-08-01,21.2512
2019-12-23,2019-12-23,1959-09-01,21.6923
2019-12-23,2019-12-23,1959-10-01,21.7474
2019-12-23,2019-12-23,1959-11-01,21.8852
2019-12-23,2019-12-23,1959-12-01,21.9679
2019-12-23,2019-12-23,1960-01-01,21.7750
2019-12-23,2019-12-23,1960-02-01,21.7474
2019-12-23,2019-12-23,1960-03-01,22.5743
2019-12-23,2019-12-23,1960-04-01,22.6018
2019-12-23,2019-12-23,1960-05-01,22.3262
2019-12-23,2019-12-23,1960-06-01,22.4640
2019-12-23,2019-12-23,1960-07-01,22.6845
2019-12-23,2019-12-23,1960-08-01,22.7672
2019-12-23,2019-12-23,1960-09-01,22.9602
2019-12-23,2019-12-23,1960-10-01,22.9877
2019-12-23,2019-12-23,1960-11-01,23.0704
2019-12-23,2019-12-23,1960-12-01,23.1531
2019-12-23,2019-12-23,1961-01-01,23.4012
2019-12-23,2019-12-23,1961-02-01,23.4012
2019-12-23,2019-12-23,1961-03-01,23.0980
2019-12-23,2019-12-23,1961-04-01,23.5390
2019-12-23,2019-12-23,1961-05-01,24.1730
2019-12-23,2019-12-23,1961-06-01,23.8146
2019-12-23,2019-12-23,1961-07-01,23.7319
2019-12-23,2019-12-23,1961-08-01,24.2832
2019-12-23,2019-12-23,1961-09-01,24.4210
2019-12-23,2019-12-23,1961-10-01,24.6966
2019-12-23,2019-12-23,1961-11-01,24.6140
2019-12-23,2019-12-23,1961-12-01,24.7794
2019-12-23,2019-12-23,1962-01-01,25.1377
2019-12-23,2019-12-23,1962-02-01,25.0826
2019-12-23,2019-12-23,1962-03-01,25.3030
2019-12-23,2019-12-23,1962-04-01,25.3030
2019-12-23,2019-12-23,1962-05-01,25.6062
2019-12-23,2019-12-23,1962-06-01,26.0472
2019-12-23,2019-12-23,1962-07-01,26.4331
2019-12-23,2019-12-23,1962-08-01,26.4056
2019-12-23,2019-12-23,1962-09-01,26.3229
2019-12-23,2019-12-23,1962-10-01,26.3229
2019-12-23,2019-12-23,1962-11-01,26.6812
2019-12-23,2019-12-23,1962-12-01,26.6536
2019-12-23,2019-12-23,1963-01-01,27.4254
2019-12-23,2019-12-23,1963-02-01,27.8940
2019-12-23,2019-12-23,1963-03-01,27.5081
2019-12-23,2019-12-23,1963-04-01,27.1498
2019-12-23,2019-12-23,1963-05-01,27.5908
2019-12-23,2019-12-23,1963-06-01,27.7010
2019-12-23,2019-12-23,1963-07-01,27.0671
2019-12-23,2019-12-23,1963-08-01,27.1773
2019-12-23,2019-12-23,1963-09-01,27.4806
2019-12-23,2019-12-23,1963-10-01,27.5632
2019-12-23,2019-12-23,1963-11-01,27.9767
