realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1947-01-01,5.4081
2019-12-23,2019-12-23,1947-02-01,5.4665
2019-12-23,2019-12-23,1947-03-01,5.4957
2019-12-23,2019-12-23,1947-04-01,5.5735
2019-12-23,2019-12-23,1947-05-01,5.6027
2019-12-23,2019-12-23,1947-06-01,5.6416
2019-12-23,2019-12-23,1947-07-01,5.5443
2019-12-23,2019-12-23,1947-08-01,5.6416
2019-12-23,2019-12-23,1947-09-01,5.7194
2019-12-23,2019-12-23,1947-10-01,5.7583
2019-12-23,2019-12-23,1947-11-01,5.7583
2019-12-23,2019-12-23,1947-12-01,5.8069
2019-12-23,2019-12-23,1948-01-01,5.8556
2019-12-23,2019-12-23,1948-02-01,5.8264
2019-12-23,2019-12-23,1948-03-01,5.8653
2019-12-23,2019-12-23,1948-04-01,5.8264
2019-12-23,2019-12-23,1948-05-01,5.8069
2019-12-23,2019-12-23,1948-06-01,5.8847
2019-12-23,2019-12-23,1948-07-01,5.9139
2019-12-23,2019-12-23,1948-08-01,5.9042
2019-12-23,2019-12-23,1948-09-01,5.8750
2019-12-23,2019-12-23,1948-10-01,5.7972
2019-12-23,2019-12-23,1948-11-01,5.7583
2019-12-23,2019-12-23,1948-12-01,5.7097
2019-12-23,2019-12-23,1949-01-01,5.5735
2019-12-23,2019-12-23,1949-02-01,5.5540
2019-12-23,2019-12-23,1949-03-01,5.4276
2019-12-23,2019-12-23,1949-04-01,5.3400
2019-12-23,2019-12-23,1949-05-01,5.2233
2019-12-23,2019-12-23,1949-06-01,5.1358
2019-12-23,2019-12-23,1949-07-01,5.0385
2019-12-23,2019-12-23,1949-08-01,4.9899
2019-12-23,2019-12-23,1949-09-01,4.9607
2019-12-23,2019-12-23,1949-10-01,4.7564
2019-12-23,2019-12-23,1949-11-01,4.6105
2019-12-23,2019-12-23,1949-12-01,4.6203
2019-12-23,2019-12-23,1950-01-01,4.7078
2019-12-23,2019-12-23,1950-02-01,4.8537
2019-12-23,2019-12-23,1950-03-01,4.9023
2019-12-23,2019-12-23,1950-04-01,5.0482
2019-12-23,2019-12-23,1950-05-01,5.2622
2019-12-23,2019-12-23,1950-06-01,5.4665
2019-12-23,2019-12-23,1950-07-01,5.6513
2019-12-23,2019-12-23,1950-08-01,5.9626
2019-12-23,2019-12-23,1950-09-01,5.8167
2019-12-23,2019-12-23,1950-10-01,5.9334
2019-12-23,2019-12-23,1950-11-01,5.9820
2019-12-23,2019-12-23,1950-12-01,6.0793
2019-12-23,2019-12-23,1951-01-01,6.1571
2019-12-23,2019-12-23,1951-02-01,6.2446
2019-12-23,2019-12-23,1951-03-01,6.3322
2019-12-23,2019-12-23,1951-04-01,6.4878
2019-12-23,2019-12-23,1951-05-01,6.5462
2019-12-23,2019-12-23,1951-06-01,6.6240
2019-12-23,2019-12-23,1951-07-01,6.6824
2019-12-23,2019-12-23,1951-08-01,6.7699
2019-12-23,2019-12-23,1951-09-01,6.9158
2019-12-23,2019-12-23,1951-10-01,7.0325
2019-12-23,2019-12-23,1951-11-01,7.1590
2019-12-23,2019-12-23,1951-12-01,7.2465
2019-12-23,2019-12-23,1952-01-01,7.4313
2019-12-23,2019-12-23,1952-02-01,7.5189
2019-12-23,2019-12-23,1952-03-01,7.5870
2019-12-23,2019-12-23,1952-04-01,7.5578
2019-12-23,2019-12-23,1952-05-01,7.5967
2019-12-23,2019-12-23,1952-06-01,7.6453
2019-12-23,2019-12-23,1952-07-01,7.2757
2019-12-23,2019-12-23,1952-08-01,7.4021
2019-12-23,2019-12-23,1952-09-01,7.5772
2019-12-23,2019-12-23,1952-10-01,7.6550
2019-12-23,2019-12-23,1952-11-01,7.7523
2019-12-23,2019-12-23,1952-12-01,7.8301
2019-12-23,2019-12-23,1953-01-01,7.8885
2019-12-23,2019-12-23,1953-02-01,7.9177
2019-12-23,2019-12-23,1953-03-01,7.9760
2019-12-23,2019-12-23,1953-04-01,7.9857
2019-12-23,2019-12-23,1953-05-01,7.9371
2019-12-23,2019-12-23,1953-06-01,7.8885
2019-12-23,2019-12-23,1953-07-01,8.0052
2019-12-23,2019-12-23,1953-08-01,7.9760
2019-12-23,2019-12-23,1953-09-01,7.8885
2019-12-23,2019-12-23,1953-10-01,7.8885
2019-12-23,2019-12-23,1953-11-01,7.6161
2019-12-23,2019-12-23,1953-12-01,7.4897
2019-12-23,2019-12-23,1954-01-01,7.2660
2019-12-23,2019-12-23,1954-02-01,7.1784
2019-12-23,2019-12-23,1954-03-01,7.0714
2019-12-23,2019-12-23,1954-04-01,6.9450
2019-12-23,2019-12-23,1954-05-01,6.9352
2019-12-23,2019-12-23,1954-06-01,6.8477
2019-12-23,2019-12-23,1954-07-01,6.8283
2019-12-23,2019-12-23,1954-08-01,6.7893
2019-12-23,2019-12-23,1954-09-01,6.7115
