realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1939-01-01,12.0836
2019-12-23,2019-12-23,1939-02-01,12.0836
2019-12-23,2019-12-23,1939-03-01,12.2817
2019-12-23,2019-12-23,1939-04-01,12.2817
2019-12-23,2019-12-23,1939-05-01,12.3213
2019-12-23,2019-12-23,1939-06-01,12.4402
2019-12-23,2019-12-23,1939-07-01,12.5986
2019-12-23,2019-12-23,1939-08-01,12.6383
2019-12-23,2019-12-23,1939-09-01,12.8363
2019-12-23,2019-12-23,1939-10-01,12.9552
2019-12-23,2019-12-23,1939-11-01,13.0741
2019-12-23,2019-12-23,1939-12-01,13.1137
2019-12-23,2019-12-23,1940-01-01,13.0741
2019-12-23,2019-12-23,1940-02-01,13.0344
2019-12-23,2019-12-23,1940-03-01,12.8760
2019-12-23,2019-12-23,1940-04-01,12.9552
2019-12-23,2019-12-23,1940-05-01,13.0344
2019-12-23,2019-12-23,1940-06-01,13.1533
2019-12-23,2019-12-23,1940-07-01,13.1137
2019-12-23,2019-12-23,1940-08-01,13.1137
2019-12-23,2019-12-23,1940-09-01,13.4702
2019-12-23,2019-12-23,1940-10-01,13.7080
2019-12-23,2019-12-23,1940-11-01,13.9853
2019-12-23,2019-12-23,1940-12-01,14.4211
2019-12-23,2019-12-23,1941-01-01,14.6984
2019-12-23,2019-12-23,1941-02-01,15.1342
2019-12-23,2019-12-23,1941-03-01,15.5304
2019-12-23,2019-12-23,1941-04-01,15.8077
2019-12-23,2019-12-23,1941-05-01,16.2831
2019-12-23,2019-12-23,1941-06-01,16.3228
2019-12-23,2019-12-23,1941-07-01,16.3228
2019-12-23,2019-12-23,1941-08-01,16.3624
2019-12-23,2019-12-23,1941-09-01,16.2832
2019-12-23,2019-12-23,1941-10-01,16.2832
2019-12-23,2019-12-23,1941-11-01,16.3228
2019-12-23,2019-12-23,1941-12-01,16.3228
2019-12-23,2019-12-23,1942-01-01,16.6397
2019-12-23,2019-12-23,1942-02-01,16.4416
2019-12-23,2019-12-23,1942-03-01,16.4416
2019-12-23,2019-12-23,1942-04-01,14.1834
2019-12-23,2019-12-23,1942-05-01,14.0249
2019-12-23,2019-12-23,1942-06-01,13.7872
2019-12-23,2019-12-23,1942-07-01,13.9853
2019-12-23,2019-12-23,1942-08-01,14.1041
2019-12-23,2019-12-23,1942-09-01,14.1438
2019-12-23,2019-12-23,1942-10-01,14.3815
2019-12-23,2019-12-23,1942-11-01,14.4607
2019-12-23,2019-12-23,1942-12-01,14.7777
2019-12-23,2019-12-23,1943-01-01,14.3418
2019-12-23,2019-12-23,1943-02-01,14.4607
2019-12-23,2019-12-23,1943-03-01,14.5003
2019-12-23,2019-12-23,1943-04-01,14.6588
