realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1947-01-01,14.1105
2019-12-23,2019-12-23,1947-02-01,14.5434
2019-12-23,2019-12-23,1947-03-01,14.8608
2019-12-23,2019-12-23,1947-04-01,14.9762
2019-12-23,2019-12-23,1947-05-01,14.8319
2019-12-23,2019-12-23,1947-06-01,14.9474
2019-12-23,2019-12-23,1947-07-01,14.6588
2019-12-23,2019-12-23,1947-08-01,14.5145
2019-12-23,2019-12-23,1947-09-01,15.0051
2019-12-23,2019-12-23,1947-10-01,15.2071
2019-12-23,2019-12-23,1947-11-01,15.6688
2019-12-23,2019-12-23,1947-12-01,15.8707
2019-12-23,2019-12-23,1948-01-01,15.6976
2019-12-23,2019-12-23,1948-02-01,15.4956
2019-12-23,2019-12-23,1948-03-01,15.6111
2019-12-23,2019-12-23,1948-04-01,15.4668
2019-12-23,2019-12-23,1948-05-01,15.1782
2019-12-23,2019-12-23,1948-06-01,15.8130
2019-12-23,2019-12-23,1948-07-01,16.2170
2019-12-23,2019-12-23,1948-08-01,15.9573
2019-12-23,2019-12-23,1948-09-01,15.4956
2019-12-23,2019-12-23,1948-10-01,15.9862
2019-12-23,2019-12-23,1948-11-01,15.3802
2019-12-23,2019-12-23,1948-12-01,14.8031
2019-12-23,2019-12-23,1949-01-01,14.3414
2019-12-23,2019-12-23,1949-02-01,14.1394
2019-12-23,2019-12-23,1949-03-01,14.1105
2019-12-23,2019-12-23,1949-04-01,14.1394
2019-12-23,2019-12-23,1949-05-01,14.0528
2019-12-23,2019-12-23,1949-06-01,14.3991
2019-12-23,2019-12-23,1949-07-01,14.8608
2019-12-23,2019-12-23,1949-08-01,15.0916
2019-12-23,2019-12-23,1949-09-01,15.6399
2019-12-23,2019-12-23,1949-10-01,15.8707
2019-12-23,2019-12-23,1949-11-01,15.0051
2019-12-23,2019-12-23,1949-12-01,14.8319
2019-12-23,2019-12-23,1950-01-01,16.5633
2019-12-23,2019-12-23,1950-02-01,16.5344
2019-12-23,2019-12-23,1950-03-01,17.2270
2019-12-23,2019-12-23,1950-04-01,18.4678
2019-12-23,2019-12-23,1950-05-01,19.4200
2019-12-23,2019-12-23,1950-06-01,21.0360
2019-12-23,2019-12-23,1950-07-01,21.9016
2019-12-23,2019-12-23,1950-08-01,22.5653
2019-12-23,2019-12-23,1950-09-01,21.5554
2019-12-23,2019-12-23,1950-10-01,21.0937
2019-12-23,2019-12-23,1950-11-01,20.6608
2019-12-23,2019-12-23,1950-12-01,20.4588
2019-12-23,2019-12-23,1951-01-01,20.0837
2019-12-23,2019-12-23,1951-02-01,20.1703
2019-12-23,2019-12-23,1951-03-01,20.0260
2019-12-23,2019-12-23,1951-04-01,19.1026
2019-12-23,2019-12-23,1951-05-01,18.1215
2019-12-23,2019-12-23,1951-06-01,17.2847
2019-12-23,2019-12-23,1951-07-01,15.4379
2019-12-23,2019-12-23,1951-08-01,14.4280
2019-12-23,2019-12-23,1951-09-01,15.0339
2019-12-23,2019-12-23,1951-10-01,14.9185
2019-12-23,2019-12-23,1951-11-01,15.2071
2019-12-23,2019-12-23,1951-12-01,15.3802
2019-12-23,2019-12-23,1952-01-01,15.3225
2019-12-23,2019-12-23,1952-02-01,15.2936
2019-12-23,2019-12-23,1952-03-01,15.6110
2019-12-23,2019-12-23,1952-04-01,15.4668
2019-12-23,2019-12-23,1952-05-01,15.9285
2019-12-23,2019-12-23,1952-06-01,16.1016
2019-12-23,2019-12-23,1952-07-01,14.5434
2019-12-23,2019-12-23,1952-08-01,15.9862
2019-12-23,2019-12-23,1952-09-01,17.6310
2019-12-23,2019-12-23,1952-10-01,18.2081
2019-12-23,2019-12-23,1952-11-01,19.3912
2019-12-23,2019-12-23,1952-12-01,19.4489
2019-12-23,2019-12-23,1953-01-01,20.1991
2019-12-23,2019-12-23,1953-02-01,20.4011
2019-12-23,2019-12-23,1953-03-01,20.6031
2019-12-23,2019-12-23,1953-04-01,20.4011
2019-12-23,2019-12-23,1953-05-01,20.5166
2019-12-23,2019-12-23,1953-06-01,19.7374
2019-12-23,2019-12-23,1953-07-01,19.6220
2019-12-23,2019-12-23,1953-08-01,19.4489
2019-12-23,2019-12-23,1953-09-01,18.6698
2019-12-23,2019-12-23,1953-10-01,18.4966
2019-12-23,2019-12-23,1953-11-01,17.8330
2019-12-23,2019-12-23,1953-12-01,17.1981
2019-12-23,2019-12-23,1954-01-01,16.9384
2019-12-23,2019-12-23,1954-02-01,17.3424
2019-12-23,2019-12-23,1954-03-01,17.3424
2019-12-23,2019-12-23,1954-04-01,17.5444
2019-12-23,2019-12-23,1954-05-01,17.8907
2019-12-23,2019-12-23,1954-06-01,18.0061
2019-12-23,2019-12-23,1954-07-01,17.8041
2019-12-23,2019-12-23,1954-08-01,17.9484
2019-12-23,2019-12-23,1954-09-01,18.0638
2019-12-23,2019-12-23,1954-10-01,18.3235
2019-12-23,2019-12-23,1954-11-01,18.8429
2019-12-23,2019-12-23,1954-12-01,19.5643
2019-12-23,2019-12-23,1955-01-01,20.9494
2019-12-23,2019-12-23,1955-02-01,21.1803
2019-12-23,2019-12-23,1955-03-01,21.7574
2019-12-23,2019-12-23,1955-04-01,22.1036
2019-12-23,2019-12-23,1955-05-01,22.6807
2019-12-23,2019-12-23,1955-06-01,22.2191
2019-12-23,2019-12-23,1955-07-01,22.5365
2019-12-23,2019-12-23,1955-08-01,22.5076
2019-12-23,2019-12-23,1955-09-01,22.5942
2019-12-23,2019-12-23,1955-10-01,22.7385
2019-12-23,2019-12-23,1955-11-01,22.5076
2019-12-23,2019-12-23,1955-12-01,22.4210
2019-12-23,2019-12-23,1956-01-01,22.1902
2019-12-23,2019-12-23,1956-02-01,21.7862
2019-12-23,2019-12-23,1956-03-01,21.8439
2019-12-23,2019-12-23,1956-04-01,22.1613
2019-12-23,2019-12-23,1956-05-01,21.6419
2019-12-23,2019-12-23,1956-06-01,21.1225
2019-12-23,2019-12-23,1956-07-01,21.1514
2019-12-23,2019-12-23,1956-08-01,21.1514
2019-12-23,2019-12-23,1956-09-01,20.8340
2019-12-23,2019-12-23,1956-10-01,21.0937
2019-12-23,2019-12-23,1956-11-01,20.8051
2019-12-23,2019-12-23,1956-12-01,21.6708
2019-12-23,2019-12-23,1957-01-01,21.7285
2019-12-23,2019-12-23,1957-02-01,22.1036
2019-12-23,2019-12-23,1957-03-01,21.9882
2019-12-23,2019-12-23,1957-04-01,21.3822
2019-12-23,2019-12-23,1957-05-01,21.2668
2019-12-23,2019-12-23,1957-06-01,21.6131
2019-12-23,2019-12-23,1957-07-01,21.4111
2019-12-23,2019-12-23,1957-08-01,21.9882
2019-12-23,2019-12-23,1957-09-01,21.9305
2019-12-23,2019-12-23,1957-10-01,21.1225
2019-12-23,2019-12-23,1957-11-01,21.0648
2019-12-23,2019-12-23,1957-12-01,20.1414
2019-12-23,2019-12-23,1958-01-01,19.3335
2019-12-23,2019-12-23,1958-02-01,18.6409
2019-12-23,2019-12-23,1958-03-01,18.0349
2019-12-23,2019-12-23,1958-04-01,17.3135
2019-12-23,2019-12-23,1958-05-01,17.9484
2019-12-23,2019-12-23,1958-06-01,18.4678
2019-12-23,2019-12-23,1958-07-01,18.7275
2019-12-23,2019-12-23,1958-08-01,19.0737
2019-12-23,2019-12-23,1958-09-01,17.7752
2019-12-23,2019-12-23,1958-10-01,18.6409
2019-12-23,2019-12-23,1958-11-01,21.8439
2019-12-23,2019-12-23,1958-12-01,21.9305
2019-12-23,2019-12-23,1959-01-01,21.9882
2019-12-23,2019-12-23,1959-02-01,22.1036
2019-12-23,2019-12-23,1959-03-01,22.5365
2019-12-23,2019-12-23,1959-04-01,22.6807
2019-12-23,2019-12-23,1959-05-01,23.1424
2019-12-23,2019-12-23,1959-06-01,23.3156
2019-12-23,2019-12-23,1959-07-01,23.7773
2019-12-23,2019-12-23,1959-08-01,23.1136
2019-12-23,2019-12-23,1959-09-01,22.4210
2019-12-23,2019-12-23,1959-10-01,22.9405
2019-12-23,2019-12-23,1959-11-01,20.1126
2019-12-23,2019-12-23,1959-12-01,22.6808
2019-12-23,2019-12-23,1960-01-01,25.1624
2019-12-23,2019-12-23,1960-02-01,24.8161
2019-12-23,2019-12-23,1960-03-01,24.3256
2019-12-23,2019-12-23,1960-04-01,24.2967
2019-12-23,2019-12-23,1960-05-01,24.5275
2019-12-23,2019-12-23,1960-06-01,24.2678
2019-12-23,2019-12-23,1960-07-01,23.3444
2019-12-23,2019-12-23,1960-08-01,23.6041
2019-12-23,2019-12-23,1960-09-01,23.3156
2019-12-23,2019-12-23,1960-10-01,23.5753
2019-12-23,2019-12-23,1960-11-01,22.7962
2019-12-23,2019-12-23,1960-12-01,22.0171
2019-12-23,2019-12-23,1961-01-01,21.2091
