realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1947-01-01,7.8531
2019-12-23,2019-12-23,1947-02-01,7.8837
2019-12-23,2019-12-23,1947-03-01,7.9448
2019-12-23,2019-12-23,1947-04-01,7.9906
2019-12-23,2019-12-23,1947-05-01,7.8684
2019-12-23,2019-12-23,1947-06-01,7.8073
2019-12-23,2019-12-23,1947-07-01,7.6545
2019-12-23,2019-12-23,1947-08-01,7.5475
2019-12-23,2019-12-23,1947-09-01,7.6698
2019-12-23,2019-12-23,1947-10-01,7.6698
2019-12-23,2019-12-23,1947-11-01,7.7767
2019-12-23,2019-12-23,1947-12-01,7.8684
2019-12-23,2019-12-23,1948-01-01,8.0059
2019-12-23,2019-12-23,1948-02-01,8.0212
2019-12-23,2019-12-23,1948-03-01,7.8684
2019-12-23,2019-12-23,1948-04-01,7.6698
2019-12-23,2019-12-23,1948-05-01,7.9295
2019-12-23,2019-12-23,1948-06-01,8.0517
2019-12-23,2019-12-23,1948-07-01,8.0365
2019-12-23,2019-12-23,1948-08-01,7.9906
2019-12-23,2019-12-23,1948-09-01,8.0059
2019-12-23,2019-12-23,1948-10-01,8.1892
2019-12-23,2019-12-23,1948-11-01,8.1587
2019-12-23,2019-12-23,1948-12-01,8.1129
2019-12-23,2019-12-23,1949-01-01,8.1892
2019-12-23,2019-12-23,1949-02-01,8.0976
2019-12-23,2019-12-23,1949-03-01,7.8226
2019-12-23,2019-12-23,1949-04-01,7.5170
2019-12-23,2019-12-23,1949-05-01,7.1503
2019-12-23,2019-12-23,1949-06-01,7.0434
2019-12-23,2019-12-23,1949-07-01,6.9517
2019-12-23,2019-12-23,1949-08-01,6.9823
2019-12-23,2019-12-23,1949-09-01,7.2573
2019-12-23,2019-12-23,1949-10-01,5.7600
2019-12-23,2019-12-23,1949-11-01,6.2183
2019-12-23,2019-12-23,1949-12-01,7.3031
2019-12-23,2019-12-23,1950-01-01,7.8073
2019-12-23,2019-12-23,1950-02-01,7.7156
2019-12-23,2019-12-23,1950-03-01,7.6545
2019-12-23,2019-12-23,1950-04-01,8.2198
2019-12-23,2019-12-23,1950-05-01,8.6476
2019-12-23,2019-12-23,1950-06-01,9.0754
2019-12-23,2019-12-23,1950-07-01,9.3962
2019-12-23,2019-12-23,1950-08-01,9.7171
2019-12-23,2019-12-23,1950-09-01,9.8393
2019-12-23,2019-12-23,1950-10-01,10.1296
2019-12-23,2019-12-23,1950-11-01,10.0074
2019-12-23,2019-12-23,1950-12-01,10.1907
2019-12-23,2019-12-23,1951-01-01,10.2977
2019-12-23,2019-12-23,1951-02-01,10.2977
2019-12-23,2019-12-23,1951-03-01,10.3435
2019-12-23,2019-12-23,1951-04-01,10.4199
2019-12-23,2019-12-23,1951-05-01,10.3741
2019-12-23,2019-12-23,1951-06-01,10.3282
2019-12-23,2019-12-23,1951-07-01,10.1907
2019-12-23,2019-12-23,1951-08-01,10.0838
2019-12-23,2019-12-23,1951-09-01,10.2060
2019-12-23,2019-12-23,1951-10-01,10.1602
2019-12-23,2019-12-23,1951-11-01,10.2671
2019-12-23,2019-12-23,1951-12-01,10.4352
2019-12-23,2019-12-23,1952-01-01,10.5421
2019-12-23,2019-12-23,1952-02-01,10.5116
2019-12-23,2019-12-23,1952-03-01,10.4505
2019-12-23,2019-12-23,1952-04-01,10.1602
2019-12-23,2019-12-23,1952-05-01,10.1907
2019-12-23,2019-12-23,1952-06-01,8.5406
2019-12-23,2019-12-23,1952-07-01,8.1892
2019-12-23,2019-12-23,1952-08-01,10.3588
2019-12-23,2019-12-23,1952-09-01,11.2602
2019-12-23,2019-12-23,1952-10-01,11.6269
2019-12-23,2019-12-23,1952-11-01,11.9477
2019-12-23,2019-12-23,1952-12-01,12.1464
2019-12-23,2019-12-23,1953-01-01,12.2991
2019-12-23,2019-12-23,1953-02-01,12.4825
2019-12-23,2019-12-23,1953-03-01,12.6047
2019-12-23,2019-12-23,1953-04-01,12.5589
2019-12-23,2019-12-23,1953-05-01,12.5589
2019-12-23,2019-12-23,1953-06-01,12.4061
2019-12-23,2019-12-23,1953-07-01,12.7269
2019-12-23,2019-12-23,1953-08-01,12.6353
2019-12-23,2019-12-23,1953-09-01,12.2533
2019-12-23,2019-12-23,1953-10-01,12.0241
2019-12-23,2019-12-23,1953-11-01,11.4894
2019-12-23,2019-12-23,1953-12-01,11.2602
2019-12-23,2019-12-23,1954-01-01,10.7102
2019-12-23,2019-12-23,1954-02-01,10.5880
2019-12-23,2019-12-23,1954-03-01,10.2977
2019-12-23,2019-12-23,1954-04-01,10.2518
2019-12-23,2019-12-23,1954-05-01,10.4657
2019-12-23,2019-12-23,1954-06-01,10.5116
2019-12-23,2019-12-23,1954-07-01,10.6032
2019-12-23,2019-12-23,1954-08-01,10.5268
2019-12-23,2019-12-23,1954-09-01,10.3588
2019-12-23,2019-12-23,1954-10-01,10.5727
2019-12-23,2019-12-23,1954-11-01,10.8935
2019-12-23,2019-12-23,1954-12-01,11.1685
2019-12-23,2019-12-23,1955-01-01,11.6727
2019-12-23,2019-12-23,1955-02-01,12.0700
2019-12-23,2019-12-23,1955-03-01,12.4825
2019-12-23,2019-12-23,1955-04-01,12.8033
2019-12-23,2019-12-23,1955-05-01,13.1700
2019-12-23,2019-12-23,1955-06-01,13.0325
2019-12-23,2019-12-23,1955-07-01,13.2464
2019-12-23,2019-12-23,1955-08-01,13.3381
2019-12-23,2019-12-23,1955-09-01,13.4603
2019-12-23,2019-12-23,1955-10-01,13.5214
2019-12-23,2019-12-23,1955-11-01,13.4145
2019-12-23,2019-12-23,1955-12-01,13.3992
2019-12-23,2019-12-23,1956-01-01,13.5061
2019-12-23,2019-12-23,1956-02-01,13.0478
2019-12-23,2019-12-23,1956-03-01,12.9103
2019-12-23,2019-12-23,1956-04-01,13.0020
2019-12-23,2019-12-23,1956-05-01,12.6353
2019-12-23,2019-12-23,1956-06-01,12.4061
2019-12-23,2019-12-23,1956-07-01,10.5727
2019-12-23,2019-12-23,1956-08-01,12.5130
2019-12-23,2019-12-23,1956-09-01,13.7812
2019-12-23,2019-12-23,1956-10-01,14.0867
2019-12-23,2019-12-23,1956-11-01,13.5367
2019-12-23,2019-12-23,1956-12-01,13.9339
2019-12-23,2019-12-23,1957-01-01,13.3686
2019-12-23,2019-12-23,1957-02-01,13.4909
2019-12-23,2019-12-23,1957-03-01,13.3381
2019-12-23,2019-12-23,1957-04-01,13.1547
2019-12-23,2019-12-23,1957-05-01,12.9714
2019-12-23,2019-12-23,1957-06-01,13.1853
2019-12-23,2019-12-23,1957-07-01,13.3534
2019-12-23,2019-12-23,1957-08-01,13.4298
2019-12-23,2019-12-23,1957-09-01,13.1089
2019-12-23,2019-12-23,1957-10-01,12.7728
2019-12-23,2019-12-23,1957-11-01,12.1311
2019-12-23,2019-12-23,1957-12-01,11.5047
2019-12-23,2019-12-23,1958-01-01,11.0005
2019-12-23,2019-12-23,1958-02-01,10.4505
2019-12-23,2019-12-23,1958-03-01,10.1449
2019-12-23,2019-12-23,1958-04-01,9.7935
2019-12-23,2019-12-23,1958-05-01,9.9157
2019-12-23,2019-12-23,1958-06-01,10.4810
2019-12-23,2019-12-23,1958-07-01,10.6949
2019-12-23,2019-12-23,1958-08-01,11.1380
2019-12-23,2019-12-23,1958-09-01,11.4283
2019-12-23,2019-12-23,1958-10-01,11.6880
2019-12-23,2019-12-23,1958-11-01,12.2075
2019-12-23,2019-12-23,1958-12-01,12.2991
2019-12-23,2019-12-23,1959-01-01,12.6047
2019-12-23,2019-12-23,1959-02-01,13.1853
2019-12-23,2019-12-23,1959-03-01,13.7048
2019-12-23,2019-12-23,1959-04-01,14.1173
2019-12-23,2019-12-23,1959-05-01,14.6062
2019-12-23,2019-12-23,1959-06-01,14.4993
2019-12-23,2019-12-23,1959-07-01,13.0478
2019-12-23,2019-12-23,1959-08-01,11.4741
2019-12-23,2019-12-23,1959-09-01,11.4283
2019-12-23,2019-12-23,1959-10-01,11.2449
2019-12-23,2019-12-23,1959-11-01,11.9936
2019-12-23,2019-12-23,1959-12-01,14.1937
2019-12-23,2019-12-23,1960-01-01,14.7590
2019-12-23,2019-12-23,1960-02-01,14.5145
2019-12-23,2019-12-23,1960-03-01,14.0562
2019-12-23,2019-12-23,1960-04-01,13.5520
2019-12-23,2019-12-23,1960-05-01,13.3686
2019-12-23,2019-12-23,1960-06-01,12.9408
2019-12-23,2019-12-23,1960-07-01,13.0172
2019-12-23,2019-12-23,1960-08-01,12.9408
2019-12-23,2019-12-23,1960-09-01,12.7728
2019-12-23,2019-12-23,1960-10-01,12.6200
2019-12-23,2019-12-23,1960-11-01,12.0853
2019-12-23,2019-12-23,1960-12-01,11.5199
2019-12-23,2019-12-23,1961-01-01,11.6574
2019-12-23,2019-12-23,1961-02-01,11.4741
2019-12-23,2019-12-23,1961-03-01,11.4894
2019-12-23,2019-12-23,1961-04-01,12.0241
2019-12-23,2019-12-23,1961-05-01,12.5894
2019-12-23,2019-12-23,1961-06-01,12.8950
2019-12-23,2019-12-23,1961-07-01,13.2158
2019-12-23,2019-12-23,1961-08-01,13.4909
2019-12-23,2019-12-23,1961-09-01,13.6742
2019-12-23,2019-12-23,1961-10-01,13.7506
2019-12-23,2019-12-23,1961-11-01,14.0256
2019-12-23,2019-12-23,1961-12-01,14.2548
2019-12-23,2019-12-23,1962-01-01,14.2395
2019-12-23,2019-12-23,1962-02-01,14.4076
2019-12-23,2019-12-23,1962-03-01,14.4381
2019-12-23,2019-12-23,1962-04-01,14.4229
2019-12-23,2019-12-23,1962-05-01,14.1326
2019-12-23,2019-12-23,1962-06-01,13.9798
2019-12-23,2019-12-23,1962-07-01,14.1326
2019-12-23,2019-12-23,1962-08-01,14.2242
2019-12-23,2019-12-23,1962-09-01,14.3465
2019-12-23,2019-12-23,1962-10-01,14.3923
2019-12-23,2019-12-23,1962-11-01,14.4992
2019-12-23,2019-12-23,1962-12-01,14.4229
2019-12-23,2019-12-23,1963-01-01,14.4840
2019-12-23,2019-12-23,1963-02-01,14.6520
2019-12-23,2019-12-23,1963-03-01,14.8354
2019-12-23,2019-12-23,1963-04-01,15.1562
2019-12-23,2019-12-23,1963-05-01,15.6298
2019-12-23,2019-12-23,1963-06-01,15.6604
2019-12-23,2019-12-23,1963-07-01,15.4007
2019-12-23,2019-12-23,1963-08-01,14.9882
2019-12-23,2019-12-23,1963-09-01,15.4771
2019-12-23,2019-12-23,1963-10-01,15.6299
2019-12-23,2019-12-23,1963-11-01,15.7215
2019-12-23,2019-12-23,1963-12-01,15.6757
2019-12-23,2019-12-23,1964-01-01,15.7062
2019-12-23,2019-12-23,1964-02-01,15.9812
2019-12-23,2019-12-23,1964-03-01,15.9965
2019-12-23,2019-12-23,1964-04-01,16.1952
2019-12-23,2019-12-23,1964-05-01,16.4091
2019-12-23,2019-12-23,1964-06-01,16.5007
2019-12-23,2019-12-23,1964-07-01,16.5313
2019-12-23,2019-12-23,1964-08-01,17.0202
2019-12-23,2019-12-23,1964-09-01,17.3716
2019-12-23,2019-12-23,1964-10-01,16.6993
2019-12-23,2019-12-23,1964-11-01,17.6313
2019-12-23,2019-12-23,1964-12-01,17.9063
2019-12-23,2019-12-23,1965-01-01,18.1355
2019-12-23,2019-12-23,1965-02-01,18.2119
