realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1939-01-01,7.2778
2019-12-23,2019-12-23,1939-02-01,7.2778
2019-12-23,2019-12-23,1939-03-01,7.3877
2019-12-23,2019-12-23,1939-04-01,7.3877
2019-12-23,2019-12-23,1939-05-01,7.3877
2019-12-23,2019-12-23,1939-06-01,7.4700
2019-12-23,2019-12-23,1939-07-01,7.6074
2019-12-23,2019-12-23,1939-08-01,7.7172
2019-12-23,2019-12-23,1939-09-01,7.8545
2019-12-23,2019-12-23,1939-10-01,8.0193
2019-12-23,2019-12-23,1939-11-01,8.2390
2019-12-23,2019-12-23,1939-12-01,8.2940
2019-12-23,2019-12-23,1940-01-01,8.2665
2019-12-23,2019-12-23,1940-02-01,8.2390
2019-12-23,2019-12-23,1940-03-01,8.1566
2019-12-23,2019-12-23,1940-04-01,8.2390
2019-12-23,2019-12-23,1940-05-01,8.2939
2019-12-23,2019-12-23,1940-06-01,8.4313
2019-12-23,2019-12-23,1940-07-01,8.4587
2019-12-23,2019-12-23,1940-08-01,8.5411
2019-12-23,2019-12-23,1940-09-01,8.8432
2019-12-23,2019-12-23,1940-10-01,9.0355
2019-12-23,2019-12-23,1940-11-01,9.2552
2019-12-23,2019-12-23,1940-12-01,9.5847
2019-12-23,2019-12-23,1941-01-01,9.8868
2019-12-23,2019-12-23,1941-02-01,10.2438
2019-12-23,2019-12-23,1941-03-01,10.5459
2019-12-23,2019-12-23,1941-04-01,10.7382
2019-12-23,2019-12-23,1941-05-01,11.0952
2019-12-23,2019-12-23,1941-06-01,11.2051
2019-12-23,2019-12-23,1941-07-01,11.2600
2019-12-23,2019-12-23,1941-08-01,11.4248
2019-12-23,2019-12-23,1941-09-01,11.4797
2019-12-23,2019-12-23,1941-10-01,11.6170
2019-12-23,2019-12-23,1941-11-01,11.6720
2019-12-23,2019-12-23,1941-12-01,11.8917
2019-12-23,2019-12-23,1942-01-01,12.2761
2019-12-23,2019-12-23,1942-02-01,12.6332
2019-12-23,2019-12-23,1942-03-01,12.7980
2019-12-23,2019-12-23,1942-04-01,11.8917
2019-12-23,2019-12-23,1942-05-01,12.0015
2019-12-23,2019-12-23,1942-06-01,12.1114
2019-12-23,2019-12-23,1942-07-01,12.5233
2019-12-23,2019-12-23,1942-08-01,12.9627
2019-12-23,2019-12-23,1942-09-01,13.4021
2019-12-23,2019-12-23,1942-10-01,13.9240
2019-12-23,2019-12-23,1942-11-01,14.4732
2019-12-23,2019-12-23,1942-12-01,15.0499
2019-12-23,2019-12-23,1943-01-01,15.1049
2019-12-23,2019-12-23,1943-02-01,15.4344
2019-12-23,2019-12-23,1943-03-01,15.6267
2019-12-23,2019-12-23,1943-04-01,15.9013
2019-12-23,2019-12-23,1943-05-01,16.0661
2019-12-23,2019-12-23,1943-06-01,16.2583
2019-12-23,2019-12-23,1943-07-01,16.6978
2019-12-23,2019-12-23,1943-08-01,17.0273
2019-12-23,2019-12-23,1943-09-01,17.5217
2019-12-23,2019-12-23,1943-10-01,17.8237
2019-12-23,2019-12-23,1943-11-01,18.0984
2019-12-23,2019-12-23,1943-12-01,17.6315
2019-12-23,2019-12-23,1944-01-01,17.9336
2019-12-23,2019-12-23,1944-02-01,18.1258
2019-12-23,2019-12-23,1944-03-01,18.1258
2019-12-23,2019-12-23,1944-04-01,18.1533
2019-12-23,2019-12-23,1944-05-01,18.1808
2019-12-23,2019-12-23,1944-06-01,18.2632
2019-12-23,2019-12-23,1944-07-01,18.4005
2019-12-23,2019-12-23,1944-08-01,18.5927
2019-12-23,2019-12-23,1944-09-01,18.4280
2019-12-23,2019-12-23,1944-10-01,18.4005
2019-12-23,2019-12-23,1944-11-01,18.1533
2019-12-23,2019-12-23,1944-12-01,17.9336
2019-12-23,2019-12-23,1945-01-01,17.7688
2019-12-23,2019-12-23,1945-02-01,17.5491
2019-12-23,2019-12-23,1945-03-01,17.2196
2019-12-23,2019-12-23,1945-04-01,16.8625
2019-12-23,2019-12-23,1945-05-01,16.3133
2019-12-23,2019-12-23,1945-06-01,15.9562
2019-12-23,2019-12-23,1945-07-01,15.6267
2019-12-23,2019-12-23,1945-08-01,13.7042
2019-12-23,2019-12-23,1945-09-01,12.2212
2019-12-23,2019-12-23,1945-10-01,11.9191
2019-12-23,2019-12-23,1945-11-01,12.0015
2019-12-23,2019-12-23,1945-12-01,12.0839
2019-12-23,2019-12-23,1946-01-01,11.9466
2019-12-23,2019-12-23,1946-02-01,11.8642
2019-12-23,2019-12-23,1946-03-01,11.8917
2019-12-23,2019-12-23,1946-04-01,12.0839
2019-12-23,2019-12-23,1946-05-01,12.0839
2019-12-23,2019-12-23,1946-06-01,12.1388
2019-12-23,2019-12-23,1946-07-01,12.3860
2019-12-23,2019-12-23,1946-08-01,12.8529
2019-12-23,2019-12-23,1946-09-01,13.2648
2019-12-23,2019-12-23,1946-10-01,13.4845
2019-12-23,2019-12-23,1946-11-01,13.6768
2019-12-23,2019-12-23,1946-12-01,13.7592
2019-12-23,2019-12-23,1947-01-01,13.8690
2019-12-23,2019-12-23,1947-02-01,13.8965
2019-12-23,2019-12-23,1947-03-01,13.8965
2019-12-23,2019-12-23,1947-04-01,13.8690
2019-12-23,2019-12-23,1947-05-01,13.8416
2019-12-23,2019-12-23,1947-06-01,13.8690
2019-12-23,2019-12-23,1947-07-01,13.8416
2019-12-23,2019-12-23,1947-08-01,13.9514
2019-12-23,2019-12-23,1947-09-01,14.1437
2019-12-23,2019-12-23,1947-10-01,14.3359
2019-12-23,2019-12-23,1947-11-01,14.5282
2019-12-23,2019-12-23,1947-12-01,14.5556
2019-12-23,2019-12-23,1948-01-01,14.5831
2019-12-23,2019-12-23,1948-02-01,14.5556
2019-12-23,2019-12-23,1948-03-01,14.5007
2019-12-23,2019-12-23,1948-04-01,14.5281
2019-12-23,2019-12-23,1948-05-01,14.4732
2019-12-23,2019-12-23,1948-06-01,14.6929
2019-12-23,2019-12-23,1948-07-01,14.6929
2019-12-23,2019-12-23,1948-08-01,14.6105
2019-12-23,2019-12-23,1948-09-01,14.5281
2019-12-23,2019-12-23,1948-10-01,14.6380
2019-12-23,2019-12-23,1948-11-01,14.5282
2019-12-23,2019-12-23,1948-12-01,14.3634
2019-12-23,2019-12-23,1949-01-01,14.1437
2019-12-23,2019-12-23,1949-02-01,14.1162
2019-12-23,2019-12-23,1949-03-01,14.1162
2019-12-23,2019-12-23,1949-04-01,14.0613
2019-12-23,2019-12-23,1949-05-01,14.0338
2019-12-23,2019-12-23,1949-06-01,14.0338
2019-12-23,2019-12-23,1949-07-01,14.0613
2019-12-23,2019-12-23,1949-08-01,14.1711
2019-12-23,2019-12-23,1949-09-01,14.2535
2019-12-23,2019-12-23,1949-10-01,14.2260
2019-12-23,2019-12-23,1949-11-01,14.0063
2019-12-23,2019-12-23,1949-12-01,13.8690
2019-12-23,2019-12-23,1950-01-01,14.3634
2019-12-23,2019-12-23,1950-02-01,14.4458
2019-12-23,2019-12-23,1950-03-01,14.7204
