realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1939-01-01,7.7138
2019-12-23,2019-12-23,1939-02-01,7.7426
2019-12-23,2019-12-23,1939-03-01,7.8290
2019-12-23,2019-12-23,1939-04-01,7.8290
2019-12-23,2019-12-23,1939-05-01,7.8865
2019-12-23,2019-12-23,1939-06-01,7.9729
2019-12-23,2019-12-23,1939-07-01,8.1168
2019-12-23,2019-12-23,1939-08-01,8.2031
2019-12-23,2019-12-23,1939-09-01,8.4622
2019-12-23,2019-12-23,1939-10-01,8.6925
2019-12-23,2019-12-23,1939-11-01,8.8652
2019-12-23,2019-12-23,1939-12-01,8.9227
2019-12-23,2019-12-23,1940-01-01,8.8364
2019-12-23,2019-12-23,1940-02-01,8.7500
2019-12-23,2019-12-23,1940-03-01,8.6637
2019-12-23,2019-12-23,1940-04-01,8.7500
2019-12-23,2019-12-23,1940-05-01,8.8651
2019-12-23,2019-12-23,1940-06-01,9.0666
2019-12-23,2019-12-23,1940-07-01,9.0666
2019-12-23,2019-12-23,1940-08-01,9.1818
2019-12-23,2019-12-23,1940-09-01,9.4408
2019-12-23,2019-12-23,1940-10-01,9.6135
2019-12-23,2019-12-23,1940-11-01,9.7862
2019-12-23,2019-12-23,1940-12-01,10.1316
2019-12-23,2019-12-23,1941-01-01,10.4482
2019-12-23,2019-12-23,1941-02-01,10.7648
2019-12-23,2019-12-23,1941-03-01,11.0527
2019-12-23,2019-12-23,1941-04-01,11.2829
2019-12-23,2019-12-23,1941-05-01,11.6571
2019-12-23,2019-12-23,1941-06-01,11.7722
2019-12-23,2019-12-23,1941-07-01,11.8586
2019-12-23,2019-12-23,1941-08-01,12.0025
2019-12-23,2019-12-23,1941-09-01,12.0313
2019-12-23,2019-12-23,1941-10-01,12.1464
2019-12-23,2019-12-23,1941-11-01,12.2040
2019-12-23,2019-12-23,1941-12-01,12.3767
2019-12-23,2019-12-23,1942-01-01,12.7509
2019-12-23,2019-12-23,1942-02-01,13.0675
2019-12-23,2019-12-23,1942-03-01,13.2114
2019-12-23,2019-12-23,1942-04-01,12.3767
2019-12-23,2019-12-23,1942-05-01,12.4055
2019-12-23,2019-12-23,1942-06-01,12.4630
2019-12-23,2019-12-23,1942-07-01,12.8084
2019-12-23,2019-12-23,1942-08-01,13.1826
2019-12-23,2019-12-23,1942-09-01,13.6431
2019-12-23,2019-12-23,1942-10-01,14.1324
2019-12-23,2019-12-23,1942-11-01,14.5930
2019-12-23,2019-12-23,1942-12-01,15.0535
2019-12-23,2019-12-23,1943-01-01,15.1111
2019-12-23,2019-12-23,1943-02-01,15.4565
2019-12-23,2019-12-23,1943-03-01,15.6291
2019-12-23,2019-12-23,1943-04-01,15.8306
2019-12-23,2019-12-23,1943-05-01,15.9745
2019-12-23,2019-12-23,1943-06-01,16.1472
2019-12-23,2019-12-23,1943-07-01,16.5790
2019-12-23,2019-12-23,1943-08-01,16.8668
2019-12-23,2019-12-23,1943-09-01,17.3273
2019-12-23,2019-12-23,1943-10-01,17.5864
2019-12-23,2019-12-23,1943-11-01,17.8454
2019-12-23,2019-12-23,1943-12-01,17.4713
2019-12-23,2019-12-23,1944-01-01,17.7015
2019-12-23,2019-12-23,1944-02-01,17.8742
2019-12-23,2019-12-23,1944-03-01,17.8742
2019-12-23,2019-12-23,1944-04-01,17.9318
2019-12-23,2019-12-23,1944-05-01,17.9030
2019-12-23,2019-12-23,1944-06-01,17.9606
2019-12-23,2019-12-23,1944-07-01,18.1045
2019-12-23,2019-12-23,1944-08-01,18.3060
2019-12-23,2019-12-23,1944-09-01,18.1620
2019-12-23,2019-12-23,1944-10-01,18.1908
2019-12-23,2019-12-23,1944-11-01,17.9606
2019-12-23,2019-12-23,1944-12-01,17.8166
2019-12-23,2019-12-23,1945-01-01,17.6727
2019-12-23,2019-12-23,1945-02-01,17.4713
2019-12-23,2019-12-23,1945-03-01,17.2122
2019-12-23,2019-12-23,1945-04-01,16.8956
2019-12-23,2019-12-23,1945-05-01,16.4351
2019-12-23,2019-12-23,1945-06-01,16.1185
2019-12-23,2019-12-23,1945-07-01,15.8594
2019-12-23,2019-12-23,1945-08-01,14.1324
2019-12-23,2019-12-23,1945-09-01,12.6645
2019-12-23,2019-12-23,1945-10-01,12.3479
2019-12-23,2019-12-23,1945-11-01,12.5206
2019-12-23,2019-12-23,1945-12-01,12.5494
2019-12-23,2019-12-23,1946-01-01,12.4055
2019-12-23,2019-12-23,1946-02-01,12.2903
2019-12-23,2019-12-23,1946-03-01,12.5782
2019-12-23,2019-12-23,1946-04-01,12.7796
2019-12-23,2019-12-23,1946-05-01,12.6357
2019-12-23,2019-12-23,1946-06-01,12.7796
2019-12-23,2019-12-23,1946-07-01,13.0675
2019-12-23,2019-12-23,1946-08-01,13.4992
2019-12-23,2019-12-23,1946-09-01,13.8734
2019-12-23,2019-12-23,1946-10-01,14.1037
2019-12-23,2019-12-23,1946-11-01,14.2476
2019-12-23,2019-12-23,1946-12-01,14.3915
2019-12-23,2019-12-23,1947-01-01,14.5354
2019-12-23,2019-12-23,1947-02-01,14.5930
2019-12-23,2019-12-23,1947-03-01,14.6505
2019-12-23,2019-12-23,1947-04-01,14.6505
2019-12-23,2019-12-23,1947-05-01,14.6793
2019-12-23,2019-12-23,1947-06-01,14.6505
2019-12-23,2019-12-23,1947-07-01,14.6217
2019-12-23,2019-12-23,1947-08-01,14.7081
2019-12-23,2019-12-23,1947-09-01,14.8520
2019-12-23,2019-12-23,1947-10-01,15.0535
2019-12-23,2019-12-23,1947-11-01,15.2550
2019-12-23,2019-12-23,1947-12-01,15.3413
2019-12-23,2019-12-23,1948-01-01,15.3989
2019-12-23,2019-12-23,1948-02-01,15.3989
2019-12-23,2019-12-23,1948-03-01,15.3701
2019-12-23,2019-12-23,1948-04-01,15.3413
2019-12-23,2019-12-23,1948-05-01,15.3125
2019-12-23,2019-12-23,1948-06-01,15.4852
2019-12-23,2019-12-23,1948-07-01,15.5428
2019-12-23,2019-12-23,1948-08-01,15.5140
2019-12-23,2019-12-23,1948-09-01,15.3989
2019-12-23,2019-12-23,1948-10-01,15.5428
2019-12-23,2019-12-23,1948-11-01,15.3701
2019-12-23,2019-12-23,1948-12-01,15.2262
2019-12-23,2019-12-23,1949-01-01,14.9671
2019-12-23,2019-12-23,1949-02-01,14.8520
2019-12-23,2019-12-23,1949-03-01,14.8520
2019-12-23,2019-12-23,1949-04-01,14.7369
2019-12-23,2019-12-23,1949-05-01,14.7657
2019-12-23,2019-12-23,1949-06-01,14.7081
2019-12-23,2019-12-23,1949-07-01,14.7657
2019-12-23,2019-12-23,1949-08-01,14.8520
2019-12-23,2019-12-23,1949-09-01,15.0247
2019-12-23,2019-12-23,1949-10-01,14.9384
2019-12-23,2019-12-23,1949-11-01,14.8520
2019-12-23,2019-12-23,1949-12-01,14.7944
2019-12-23,2019-12-23,1950-01-01,15.1686
2019-12-23,2019-12-23,1950-02-01,15.3701
2019-12-23,2019-12-23,1950-03-01,15.6579
2019-12-23,2019-12-23,1950-04-01,16.1472
2019-12-23,2019-12-23,1950-05-01,16.4638
2019-12-23,2019-12-23,1950-06-01,16.9819
2019-12-23,2019-12-23,1950-07-01,17.4425
2019-12-23,2019-12-23,1950-08-01,18.0181
2019-12-23,2019-12-23,1950-09-01,17.7303
2019-12-23,2019-12-23,1950-10-01,17.7879
2019-12-23,2019-12-23,1950-11-01,17.8167
2019-12-23,2019-12-23,1950-12-01,18.1045
2019-12-23,2019-12-23,1951-01-01,18.2772
2019-12-23,2019-12-23,1951-02-01,18.3923
2019-12-23,2019-12-23,1951-03-01,18.4211
2019-12-23,2019-12-23,1951-04-01,18.3923
2019-12-23,2019-12-23,1951-05-01,18.2772
2019-12-23,2019-12-23,1951-06-01,18.1620
2019-12-23,2019-12-23,1951-07-01,17.8454
2019-12-23,2019-12-23,1951-08-01,17.6439
2019-12-23,2019-12-23,1951-09-01,17.8167
2019-12-23,2019-12-23,1951-10-01,17.7879
2019-12-23,2019-12-23,1951-11-01,18.0757
2019-12-23,2019-12-23,1951-12-01,18.1908
2019-12-23,2019-12-23,1952-01-01,18.4211
2019-12-23,2019-12-23,1952-02-01,18.5650
2019-12-23,2019-12-23,1952-03-01,18.6226
2019-12-23,2019-12-23,1952-04-01,18.5938
2019-12-23,2019-12-23,1952-05-01,18.6226
2019-12-23,2019-12-23,1952-06-01,18.9680
2019-12-23,2019-12-23,1952-07-01,18.6226
2019-12-23,2019-12-23,1952-08-01,19.0543
2019-12-23,2019-12-23,1952-09-01,19.5149
2019-12-23,2019-12-23,1952-10-01,19.7739
2019-12-23,2019-12-23,1952-11-01,20.0905
2019-12-23,2019-12-23,1952-12-01,20.2056
2019-12-23,2019-12-23,1953-01-01,20.3496
2019-12-23,2019-12-23,1953-02-01,20.5798
2019-12-23,2019-12-23,1953-03-01,20.6662
2019-12-23,2019-12-23,1953-04-01,20.6374
2019-12-23,2019-12-23,1953-05-01,20.7237
2019-12-23,2019-12-23,1953-06-01,20.5511
2019-12-23,2019-12-23,1953-07-01,20.6662
2019-12-23,2019-12-23,1953-08-01,20.5798
2019-12-23,2019-12-23,1953-09-01,20.3208
2019-12-23,2019-12-23,1953-10-01,20.3208
2019-12-23,2019-12-23,1953-11-01,19.8315
2019-12-23,2019-12-23,1953-12-01,19.5148
2019-12-23,2019-12-23,1954-01-01,19.4573
2019-12-23,2019-12-23,1954-02-01,19.5149
2019-12-23,2019-12-23,1954-03-01,19.5149
2019-12-23,2019-12-23,1954-04-01,19.3421
2019-12-23,2019-12-23,1954-05-01,19.3421
2019-12-23,2019-12-23,1954-06-01,19.3421
2019-12-23,2019-12-23,1954-07-01,19.2846
2019-12-23,2019-12-23,1954-08-01,19.2846
2019-12-23,2019-12-23,1954-09-01,19.4861
2019-12-23,2019-12-23,1954-10-01,19.6012
2019-12-23,2019-12-23,1954-11-01,19.8602
2019-12-23,2019-12-23,1954-12-01,20.0329
2019-12-23,2019-12-23,1955-01-01,20.3783
2019-12-23,2019-12-23,1955-02-01,20.4935
2019-12-23,2019-12-23,1955-03-01,20.8676
2019-12-23,2019-12-23,1955-04-01,21.0691
2019-12-23,2019-12-23,1955-05-01,21.3282
2019-12-23,2019-12-23,1955-06-01,21.3570
2019-12-23,2019-12-23,1955-07-01,21.3857
2019-12-23,2019-12-23,1955-08-01,21.3570
2019-12-23,2019-12-23,1955-09-01,21.5297
2019-12-23,2019-12-23,1955-10-01,21.9326
2019-12-23,2019-12-23,1955-11-01,22.0478
2019-12-23,2019-12-23,1955-12-01,22.1629
2019-12-23,2019-12-23,1956-01-01,22.2780
2019-12-23,2019-12-23,1956-02-01,22.3068
2019-12-23,2019-12-23,1956-03-01,22.3356
2019-12-23,2019-12-23,1956-04-01,22.5083
2019-12-23,2019-12-23,1956-05-01,22.3931
2019-12-23,2019-12-23,1956-06-01,22.3068
2019-12-23,2019-12-23,1956-07-01,22.2780
2019-12-23,2019-12-23,1956-08-01,22.5659
2019-12-23,2019-12-23,1956-09-01,22.5946
2019-12-23,2019-12-23,1956-10-01,22.7673
2019-12-23,2019-12-23,1956-11-01,22.7673
2019-12-23,2019-12-23,1956-12-01,23.0551
2019-12-23,2019-12-23,1957-01-01,23.1703
2019-12-23,2019-12-23,1957-02-01,23.4293
2019-12-23,2019-12-23,1957-03-01,23.4293
2019-12-23,2019-12-23,1957-04-01,23.1703
2019-12-23,2019-12-23,1957-05-01,23.0551
2019-12-23,2019-12-23,1957-06-01,23.1703
2019-12-23,2019-12-23,1957-07-01,23.2279
2019-12-23,2019-12-23,1957-08-01,23.2854
2019-12-23,2019-12-23,1957-09-01,23.1415
2019-12-23,2019-12-23,1957-10-01,22.7673
2019-12-23,2019-12-23,1957-11-01,22.4219
2019-12-23,2019-12-23,1957-12-01,22.1917
2019-12-23,2019-12-23,1958-01-01,21.9038
2019-12-23,2019-12-23,1958-02-01,21.6160
2019-12-23,2019-12-23,1958-03-01,21.4433
2019-12-23,2019-12-23,1958-04-01,21.2706
2019-12-23,2019-12-23,1958-05-01,21.4433
2019-12-23,2019-12-23,1958-06-01,21.8751
2019-12-23,2019-12-23,1958-07-01,21.9614
2019-12-23,2019-12-23,1958-08-01,22.2492
2019-12-23,2019-12-23,1958-09-01,22.2492
2019-12-23,2019-12-23,1958-10-01,22.4219
2019-12-23,2019-12-23,1958-11-01,23.1415
2019-12-23,2019-12-23,1958-12-01,23.1991
2019-12-23,2019-12-23,1959-01-01,23.4581
2019-12-23,2019-12-23,1959-02-01,23.7747
2019-12-23,2019-12-23,1959-03-01,23.9186
2019-12-23,2019-12-23,1959-04-01,24.2641
2019-12-23,2019-12-23,1959-05-01,24.4655
2019-12-23,2019-12-23,1959-06-01,24.6382
2019-12-23,2019-12-23,1959-07-01,24.6670
2019-12-23,2019-12-23,1959-08-01,24.4943
2019-12-23,2019-12-23,1959-09-01,24.3792
2019-12-23,2019-12-23,1959-10-01,24.3216
2019-12-23,2019-12-23,1959-11-01,24.0626
2019-12-23,2019-12-23,1959-12-01,24.7821
2019-12-23,2019-12-23,1960-01-01,25.3866
2019-12-23,2019-12-23,1960-02-01,25.2427
2019-12-23,2019-12-23,1960-03-01,25.1563
2019-12-23,2019-12-23,1960-04-01,25.2139
2019-12-23,2019-12-23,1960-05-01,25.3578
2019-12-23,2019-12-23,1960-06-01,25.0700
2019-12-23,2019-12-23,1960-07-01,24.9260
2019-12-23,2019-12-23,1960-08-01,24.8685
2019-12-23,2019-12-23,1960-09-01,24.6670
2019-12-23,2019-12-23,1960-10-01,24.8109
2019-12-23,2019-12-23,1960-11-01,24.5519
2019-12-23,2019-12-23,1960-12-01,24.2065
2019-12-23,2019-12-23,1961-01-01,24.1777
2019-12-23,2019-12-23,1961-02-01,24.2065
2019-12-23,2019-12-23,1961-03-01,24.3216
2019-12-23,2019-12-23,1961-04-01,24.6958
2019-12-23,2019-12-23,1961-05-01,24.8685
2019-12-23,2019-12-23,1961-06-01,25.1275
2019-12-23,2019-12-23,1961-07-01,25.3290
2019-12-23,2019-12-23,1961-08-01,25.5017
2019-12-23,2019-12-23,1961-09-01,25.4441
2019-12-23,2019-12-23,1961-10-01,25.8759
2019-12-23,2019-12-23,1961-11-01,26.3076
2019-12-23,2019-12-23,1961-12-01,26.4803
2019-12-23,2019-12-23,1962-01-01,26.2501
2019-12-23,2019-12-23,1962-02-01,26.5954
2019-12-23,2019-12-23,1962-03-01,26.7969
2019-12-23,2019-12-23,1962-04-01,26.9984
2019-12-23,2019-12-23,1962-05-01,27.1424
2019-12-23,2019-12-23,1962-06-01,27.1711
2019-12-23,2019-12-23,1962-07-01,27.4302
2019-12-23,2019-12-23,1962-08-01,27.4302
2019-12-23,2019-12-23,1962-09-01,27.6029
2019-12-23,2019-12-23,1962-10-01,27.5165
2019-12-23,2019-12-23,1962-11-01,27.6892
2019-12-23,2019-12-23,1962-12-01,27.7180
2019-12-23,2019-12-23,1963-01-01,28.0058
2019-12-23,2019-12-23,1963-02-01,28.2361
2019-12-23,2019-12-23,1963-03-01,28.2361
2019-12-23,2019-12-23,1963-04-01,28.5527
2019-12-23,2019-12-23,1963-05-01,28.6678
2019-12-23,2019-12-23,1963-06-01,28.7254
2019-12-23,2019-12-23,1963-07-01,28.7254
2019-12-23,2019-12-23,1963-08-01,28.9844
2019-12-23,2019-12-23,1963-09-01,29.0708
2019-12-23,2019-12-23,1963-10-01,29.3299
2019-12-23,2019-12-23,1963-11-01,29.4450
2019-12-23,2019-12-23,1963-12-01,29.4737
2019-12-23,2019-12-23,1964-01-01,29.7616
2019-12-23,2019-12-23,1964-02-01,29.7616
2019-12-23,2019-12-23,1964-03-01,29.7616
2019-12-23,2019-12-23,1964-04-01,30.3660
2019-12-23,2019-12-23,1964-05-01,30.4524
2019-12-23,2019-12-23,1964-06-01,30.4524
2019-12-23,2019-12-23,1964-07-01,30.7690
2019-12-23,2019-12-23,1964-08-01,30.7402
2019-12-23,2019-12-23,1964-09-01,30.5963
2019-12-23,2019-12-23,1964-10-01,30.2797
2019-12-23,2019-12-23,1964-11-01,31.1720
2019-12-23,2019-12-23,1964-12-01,31.5749
2019-12-23,2019-12-23,1965-01-01,31.9203
2019-12-23,2019-12-23,1965-02-01,32.1793
2019-12-23,2019-12-23,1965-03-01,32.5535
2019-12-23,2019-12-23,1965-04-01,32.5535
2019-12-23,2019-12-23,1965-05-01,32.8989
2019-12-23,2019-12-23,1965-06-01,33.0716
