realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1972-01-01,141.5122
2019-12-23,2019-12-23,1972-02-01,145.1660
2019-12-23,2019-12-23,1972-03-01,147.2945
2019-12-23,2019-12-23,1972-04-01,148.2239
2019-12-23,2019-12-23,1972-05-01,149.7792
2019-12-23,2019-12-23,1972-06-01,148.3578
2019-12-23,2019-12-23,1972-07-01,147.9583
2019-12-23,2019-12-23,1972-08-01,147.7679
2019-12-23,2019-12-23,1972-09-01,148.1400
2019-12-23,2019-12-23,1972-10-01,147.7513
2019-12-23,2019-12-23,1972-11-01,146.8872
2019-12-23,2019-12-23,1972-12-01,145.4847
2019-12-23,2019-12-23,1973-01-01,142.9637
2019-12-23,2019-12-23,1973-02-01,146.3459
2019-12-23,2019-12-23,1973-03-01,144.5641
2019-12-23,2019-12-23,1973-04-01,144.8406
2019-12-23,2019-12-23,1973-05-01,144.3630
2019-12-23,2019-12-23,1973-06-01,143.5764
2019-12-23,2019-12-23,1973-07-01,143.6585
2019-12-23,2019-12-23,1973-08-01,142.9298
2019-12-23,2019-12-23,1973-09-01,141.3673
2019-12-23,2019-12-23,1973-10-01,143.7918
2019-12-23,2019-12-23,1973-11-01,142.8316
2019-12-23,2019-12-23,1973-12-01,141.3275
2019-12-23,2019-12-23,1974-01-01,139.3190
2019-12-23,2019-12-23,1974-02-01,142.5215
2019-12-23,2019-12-23,1974-03-01,139.8507
2019-12-23,2019-12-23,1974-04-01,139.6675
2019-12-23,2019-12-23,1974-05-01,138.9709
2019-12-23,2019-12-23,1974-06-01,136.9669
2019-12-23,2019-12-23,1974-07-01,136.9465
2019-12-23,2019-12-23,1974-08-01,135.6707
2019-12-23,2019-12-23,1974-09-01,133.6489
2019-12-23,2019-12-23,1974-10-01,134.3542
2019-12-23,2019-12-23,1974-11-01,133.7023
2019-12-23,2019-12-23,1974-12-01,133.0571
2019-12-23,2019-12-23,1975-01-01,131.9360
2019-12-23,2019-12-23,1975-02-01,134.0046
2019-12-23,2019-12-23,1975-03-01,132.5421
2019-12-23,2019-12-23,1975-04-01,131.9602
2019-12-23,2019-12-23,1975-05-01,130.7461
2019-12-23,2019-12-23,1975-06-01,131.3609
2019-12-23,2019-12-23,1975-07-01,130.0494
2019-12-23,2019-12-23,1975-08-01,128.7176
2019-12-23,2019-12-23,1975-09-01,129.1909
2019-12-23,2019-12-23,1975-10-01,129.8801
2019-12-23,2019-12-23,1975-11-01,129.1646
2019-12-23,2019-12-23,1975-12-01,128.7952
2019-12-23,2019-12-23,1976-01-01,128.4528
2019-12-23,2019-12-23,1976-02-01,128.4386
2019-12-23,2019-12-23,1976-03-01,128.4488
2019-12-23,2019-12-23,1976-04-01,126.0669
2019-12-23,2019-12-23,1976-05-01,126.7924
2019-12-23,2019-12-23,1976-06-01,126.3035
2019-12-23,2019-12-23,1976-07-01,126.8065
2019-12-23,2019-12-23,1976-08-01,126.5294
2019-12-23,2019-12-23,1976-09-01,127.1192
2019-12-23,2019-12-23,1976-10-01,125.7889
2019-12-23,2019-12-23,1976-11-01,125.9989
2019-12-23,2019-12-23,1976-12-01,125.6837
2019-12-23,2019-12-23,1977-01-01,122.4761
2019-12-23,2019-12-23,1977-02-01,126.8799
2019-12-23,2019-12-23,1977-03-01,126.1080
2019-12-23,2019-12-23,1977-04-01,126.9505
2019-12-23,2019-12-23,1977-05-01,125.8571
2019-12-23,2019-12-23,1977-06-01,126.2160
2019-12-23,2019-12-23,1977-07-01,126.2112
2019-12-23,2019-12-23,1977-08-01,129.2137
2019-12-23,2019-12-23,1977-09-01,131.7786
2019-12-23,2019-12-23,1977-10-01,133.2249
2019-12-23,2019-12-23,1977-11-01,133.2970
2019-12-23,2019-12-23,1977-12-01,131.8702
2019-12-23,2019-12-23,1978-01-01,129.8546
2019-12-23,2019-12-23,1978-02-01,130.1248
2019-12-23,2019-12-23,1978-03-01,135.2360
2019-12-23,2019-12-23,1978-04-01,136.6088
