realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1939-01-01,3.3842
2019-12-23,2019-12-23,1939-02-01,3.4100
2019-12-23,2019-12-23,1939-03-01,3.4875
2019-12-23,2019-12-23,1939-04-01,3.5133
2019-12-23,2019-12-23,1939-05-01,3.5133
2019-12-23,2019-12-23,1939-06-01,3.5650
2019-12-23,2019-12-23,1939-07-01,3.5650
2019-12-23,2019-12-23,1939-08-01,3.6167
2019-12-23,2019-12-23,1939-09-01,3.7200
2019-12-23,2019-12-23,1939-10-01,3.7200
2019-12-23,2019-12-23,1939-11-01,3.7458
2019-12-23,2019-12-23,1939-12-01,3.7458
2019-12-23,2019-12-23,1940-01-01,3.7717
2019-12-23,2019-12-23,1940-02-01,3.8233
2019-12-23,2019-12-23,1940-03-01,3.8492
2019-12-23,2019-12-23,1940-04-01,3.8492
2019-12-23,2019-12-23,1940-05-01,3.8750
2019-12-23,2019-12-23,1940-06-01,3.9267
2019-12-23,2019-12-23,1940-07-01,3.9267
2019-12-23,2019-12-23,1940-08-01,3.9783
2019-12-23,2019-12-23,1940-09-01,4.0300
2019-12-23,2019-12-23,1940-10-01,4.0558
2019-12-23,2019-12-23,1940-11-01,4.1592
2019-12-23,2019-12-23,1940-12-01,4.1592
2019-12-23,2019-12-23,1941-01-01,4.1850
2019-12-23,2019-12-23,1941-02-01,4.2367
2019-12-23,2019-12-23,1941-03-01,4.2883
2019-12-23,2019-12-23,1941-04-01,4.3400
2019-12-23,2019-12-23,1941-05-01,4.3658
2019-12-23,2019-12-23,1941-06-01,4.4433
2019-12-23,2019-12-23,1941-07-01,4.4950
2019-12-23,2019-12-23,1941-08-01,4.5467
2019-12-23,2019-12-23,1941-09-01,4.5725
2019-12-23,2019-12-23,1941-10-01,4.5983
2019-12-23,2019-12-23,1941-11-01,4.6500
2019-12-23,2019-12-23,1941-12-01,4.7533
2019-12-23,2019-12-23,1942-01-01,4.8050
2019-12-23,2019-12-23,1942-02-01,4.8567
2019-12-23,2019-12-23,1942-03-01,4.8825
2019-12-23,2019-12-23,1942-04-01,4.8825
2019-12-23,2019-12-23,1942-05-01,4.8825
2019-12-23,2019-12-23,1942-06-01,4.9084
2019-12-23,2019-12-23,1942-07-01,5.0634
2019-12-23,2019-12-23,1942-08-01,5.0892
2019-12-23,2019-12-23,1942-09-01,5.1150
2019-12-23,2019-12-23,1942-10-01,5.1150
2019-12-23,2019-12-23,1942-11-01,5.1925
2019-12-23,2019-12-23,1942-12-01,5.2700
2019-12-23,2019-12-23,1943-01-01,5.2184
2019-12-23,2019-12-23,1943-02-01,5.2959
2019-12-23,2019-12-23,1943-03-01,5.3217
2019-12-23,2019-12-23,1943-04-01,5.3992
2019-12-23,2019-12-23,1943-05-01,5.4250
2019-12-23,2019-12-23,1943-06-01,5.5284
2019-12-23,2019-12-23,1943-07-01,5.5800
2019-12-23,2019-12-23,1943-08-01,5.6059
2019-12-23,2019-12-23,1943-09-01,5.7092
2019-12-23,2019-12-23,1943-10-01,5.7092
2019-12-23,2019-12-23,1943-11-01,5.7867
2019-12-23,2019-12-23,1943-12-01,5.7867
2019-12-23,2019-12-23,1944-01-01,5.7350
2019-12-23,2019-12-23,1944-02-01,5.8125
2019-12-23,2019-12-23,1944-03-01,5.9159
2019-12-23,2019-12-23,1944-04-01,5.9417
2019-12-23,2019-12-23,1944-05-01,5.9417
2019-12-23,2019-12-23,1944-06-01,5.9417
2019-12-23,2019-12-23,1944-07-01,5.8900
2019-12-23,2019-12-23,1944-08-01,5.9159
2019-12-23,2019-12-23,1944-09-01,5.8900
2019-12-23,2019-12-23,1944-10-01,5.8384
2019-12-23,2019-12-23,1944-11-01,5.8900
2019-12-23,2019-12-23,1944-12-01,5.9159
2019-12-23,2019-12-23,1945-01-01,6.0192
2019-12-23,2019-12-23,1945-02-01,6.0192
2019-12-23,2019-12-23,1945-03-01,5.9934
2019-12-23,2019-12-23,1945-04-01,5.9934
2019-12-23,2019-12-23,1945-05-01,6.0450
2019-12-23,2019-12-23,1945-06-01,6.1225
2019-12-23,2019-12-23,1945-07-01,6.0967
2019-12-23,2019-12-23,1945-08-01,5.9934
2019-12-23,2019-12-23,1945-09-01,5.8900
2019-12-23,2019-12-23,1945-10-01,5.8384
2019-12-23,2019-12-23,1945-11-01,5.8900
2019-12-23,2019-12-23,1945-12-01,5.9417
2019-12-23,2019-12-23,1946-01-01,5.9417
2019-12-23,2019-12-23,1946-02-01,5.9417
2019-12-23,2019-12-23,1946-03-01,5.9417
2019-12-23,2019-12-23,1946-04-01,6.0450
2019-12-23,2019-12-23,1946-05-01,6.0967
2019-12-23,2019-12-23,1946-06-01,6.1225
2019-12-23,2019-12-23,1946-07-01,6.2517
2019-12-23,2019-12-23,1946-08-01,6.3550
2019-12-23,2019-12-23,1946-09-01,6.4325
2019-12-23,2019-12-23,1946-10-01,6.5100
2019-12-23,2019-12-23,1946-11-01,6.5359
2019-12-23,2019-12-23,1946-12-01,6.5617
2019-12-23,2019-12-23,1947-01-01,6.7425
2019-12-23,2019-12-23,1947-02-01,6.6134
2019-12-23,2019-12-23,1947-03-01,6.5617
2019-12-23,2019-12-23,1947-04-01,6.5617
2019-12-23,2019-12-23,1947-05-01,6.5359
2019-12-23,2019-12-23,1947-06-01,6.5359
2019-12-23,2019-12-23,1947-07-01,6.5359
2019-12-23,2019-12-23,1947-08-01,6.7167
2019-12-23,2019-12-23,1947-09-01,6.8459
2019-12-23,2019-12-23,1947-10-01,6.8717
2019-12-23,2019-12-23,1947-11-01,6.9492
