realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1972-01-01,42.8768
2019-12-23,2019-12-23,1972-02-01,43.6154
2019-12-23,2019-12-23,1972-03-01,43.9778
2019-12-23,2019-12-23,1972-04-01,45.4177
2019-12-23,2019-12-23,1972-05-01,44.5975
2019-12-23,2019-12-23,1972-06-01,43.8960
2019-12-23,2019-12-23,1972-07-01,43.7441
2019-12-23,2019-12-23,1972-08-01,46.2101
2019-12-23,2019-12-23,1972-09-01,46.9819
2019-12-23,2019-12-23,1972-10-01,48.5387
2019-12-23,2019-12-23,1972-11-01,49.7849
2019-12-23,2019-12-23,1972-12-01,51.0658
2019-12-23,2019-12-23,1973-01-01,52.2410
2019-12-23,2019-12-23,1973-02-01,53.4768
2019-12-23,2019-12-23,1973-03-01,52.7680
2019-12-23,2019-12-23,1973-04-01,52.6906
2019-12-23,2019-12-23,1973-05-01,52.5424
2019-12-23,2019-12-23,1973-06-01,52.9790
2019-12-23,2019-12-23,1973-07-01,53.3747
2019-12-23,2019-12-23,1973-08-01,50.0494
2019-12-23,2019-12-23,1973-09-01,53.1462
2019-12-23,2019-12-23,1973-10-01,53.0203
2019-12-23,2019-12-23,1973-11-01,52.9316
2019-12-23,2019-12-23,1973-12-01,50.2689
2019-12-23,2019-12-23,1974-01-01,45.2661
2019-12-23,2019-12-23,1974-02-01,44.3527
2019-12-23,2019-12-23,1974-03-01,44.0378
2019-12-23,2019-12-23,1974-04-01,44.3529
2019-12-23,2019-12-23,1974-05-01,45.3266
2019-12-23,2019-12-23,1974-06-01,45.7581
2019-12-23,2019-12-23,1974-07-01,46.7398
2019-12-23,2019-12-23,1974-08-01,46.6958
2019-12-23,2019-12-23,1974-09-01,48.5566
2019-12-23,2019-12-23,1974-10-01,48.1619
2019-12-23,2019-12-23,1974-11-01,44.2501
2019-12-23,2019-12-23,1974-12-01,37.7516
2019-12-23,2019-12-23,1975-01-01,34.3485
2019-12-23,2019-12-23,1975-02-01,32.5359
2019-12-23,2019-12-23,1975-03-01,34.9811
2019-12-23,2019-12-23,1975-04-01,36.8970
2019-12-23,2019-12-23,1975-05-01,37.7114
2019-12-23,2019-12-23,1975-06-01,38.7072
2019-12-23,2019-12-23,1975-07-01,39.8330
2019-12-23,2019-12-23,1975-08-01,41.7933
2019-12-23,2019-12-23,1975-09-01,43.3942
2019-12-23,2019-12-23,1975-10-01,42.9471
2019-12-23,2019-12-23,1975-11-01,43.5369
2019-12-23,2019-12-23,1975-12-01,45.3524
2019-12-23,2019-12-23,1976-01-01,45.5455
2019-12-23,2019-12-23,1976-02-01,47.9672
2019-12-23,2019-12-23,1976-03-01,48.4034
2019-12-23,2019-12-23,1976-04-01,49.2117
2019-12-23,2019-12-23,1976-05-01,50.1938
2019-12-23,2019-12-23,1976-06-01,51.0165
2019-12-23,2019-12-23,1976-07-01,51.3267
2019-12-23,2019-12-23,1976-08-01,53.1785
2019-12-23,2019-12-23,1976-09-01,49.2582
2019-12-23,2019-12-23,1976-10-01,47.6545
2019-12-23,2019-12-23,1976-11-01,52.7971
2019-12-23,2019-12-23,1976-12-01,55.7340
2019-12-23,2019-12-23,1977-01-01,54.4141
2019-12-23,2019-12-23,1977-02-01,54.1053
2019-12-23,2019-12-23,1977-03-01,56.6466
2019-12-23,2019-12-23,1977-04-01,56.0327
2019-12-23,2019-12-23,1977-05-01,55.9633
2019-12-23,2019-12-23,1977-06-01,58.0766
2019-12-23,2019-12-23,1977-07-01,58.6417
2019-12-23,2019-12-23,1977-08-01,58.2935
2019-12-23,2019-12-23,1977-09-01,58.2696
2019-12-23,2019-12-23,1977-10-01,58.7765
2019-12-23,2019-12-23,1977-11-01,57.2211
2019-12-23,2019-12-23,1977-12-01,58.4849
2019-12-23,2019-12-23,1978-01-01,53.5687
2019-12-23,2019-12-23,1978-02-01,55.5135
2019-12-23,2019-12-23,1978-03-01,58.4143
2019-12-23,2019-12-23,1978-04-01,60.9917
2019-12-23,2019-12-23,1978-05-01,59.1247
2019-12-23,2019-12-23,1978-06-01,59.1414
2019-12-23,2019-12-23,1978-07-01,60.4518
2019-12-23,2019-12-23,1978-08-01,60.5052
2019-12-23,2019-12-23,1978-09-01,60.2121
2019-12-23,2019-12-23,1978-10-01,61.2234
2019-12-23,2019-12-23,1978-11-01,62.9756
2019-12-23,2019-12-23,1978-12-01,62.2867
2019-12-23,2019-12-23,1979-01-01,63.1221
2019-12-23,2019-12-23,1979-02-01,61.1864
2019-12-23,2019-12-23,1979-03-01,60.8145
2019-12-23,2019-12-23,1979-04-01,54.2919
2019-12-23,2019-12-23,1979-05-01,58.6219
2019-12-23,2019-12-23,1979-06-01,56.1856
2019-12-23,2019-12-23,1979-07-01,53.9940
2019-12-23,2019-12-23,1979-08-01,48.3598
2019-12-23,2019-12-23,1979-09-01,52.1467
2019-12-23,2019-12-23,1979-10-01,50.3148
2019-12-23,2019-12-23,1979-11-01,47.2775
2019-12-23,2019-12-23,1979-12-01,46.9155
2019-12-23,2019-12-23,1980-01-01,43.7971
2019-12-23,2019-12-23,1980-02-01,46.1402
2019-12-23,2019-12-23,1980-03-01,43.8004
2019-12-23,2019-12-23,1980-04-01,39.8302
2019-12-23,2019-12-23,1980-05-01,35.6846
2019-12-23,2019-12-23,1980-06-01,35.8440
2019-12-23,2019-12-23,1980-07-01,35.8968
2019-12-23,2019-12-23,1980-08-01,35.6516
2019-12-23,2019-12-23,1980-09-01,39.2640
2019-12-23,2019-12-23,1980-10-01,41.1715
2019-12-23,2019-12-23,1980-11-01,43.0975
2019-12-23,2019-12-23,1980-12-01,40.8838
2019-12-23,2019-12-23,1981-01-01,39.2870
2019-12-23,2019-12-23,1981-02-01,38.7804
2019-12-23,2019-12-23,1981-03-01,40.4426
2019-12-23,2019-12-23,1981-04-01,41.7568
2019-12-23,2019-12-23,1981-05-01,42.4003
2019-12-23,2019-12-23,1981-06-01,42.2443
2019-12-23,2019-12-23,1981-07-01,40.8631
2019-12-23,2019-12-23,1981-08-01,39.5274
2019-12-23,2019-12-23,1981-09-01,37.2496
2019-12-23,2019-12-23,1981-10-01,37.3856
2019-12-23,2019-12-23,1981-11-01,34.9914
2019-12-23,2019-12-23,1981-12-01,33.4018
2019-12-23,2019-12-23,1982-01-01,30.8109
2019-12-23,2019-12-23,1982-02-01,32.1895
2019-12-23,2019-12-23,1982-03-01,34.2839
2019-12-23,2019-12-23,1982-04-01,36.0810
2019-12-23,2019-12-23,1982-05-01,37.5072
2019-12-23,2019-12-23,1982-06-01,37.8458
2019-12-23,2019-12-23,1982-07-01,39.4870
2019-12-23,2019-12-23,1982-08-01,36.9581
2019-12-23,2019-12-23,1982-09-01,35.3258
2019-12-23,2019-12-23,1982-10-01,33.1445
2019-12-23,2019-12-23,1982-11-01,33.2223
2019-12-23,2019-12-23,1982-12-01,35.3731
2019-12-23,2019-12-23,1983-01-01,37.4791
2019-12-23,2019-12-23,1983-02-01,39.9383
2019-12-23,2019-12-23,1983-03-01,39.9721
2019-12-23,2019-12-23,1983-04-01,40.9829
2019-12-23,2019-12-23,1983-05-01,42.1837
2019-12-23,2019-12-23,1983-06-01,43.8633
2019-12-23,2019-12-23,1983-07-01,45.2242
2019-12-23,2019-12-23,1983-08-01,48.0309
2019-12-23,2019-12-23,1983-09-01,49.1119
2019-12-23,2019-12-23,1983-10-01,50.0979
2019-12-23,2019-12-23,1983-11-01,50.2174
2019-12-23,2019-12-23,1983-12-01,51.8856
2019-12-23,2019-12-23,1984-01-01,54.8251
2019-12-23,2019-12-23,1984-02-01,54.0258
2019-12-23,2019-12-23,1984-03-01,54.5741
2019-12-23,2019-12-23,1984-04-01,52.9694
2019-12-23,2019-12-23,1984-05-01,51.9677
2019-12-23,2019-12-23,1984-06-01,52.3679
2019-12-23,2019-12-23,1984-07-01,53.9143
2019-12-23,2019-12-23,1984-08-01,55.0493
2019-12-23,2019-12-23,1984-09-01,52.6620
2019-12-23,2019-12-23,1984-10-01,52.1960
2019-12-23,2019-12-23,1984-11-01,54.7557
2019-12-23,2019-12-23,1984-12-01,56.2655
2019-12-23,2019-12-23,1985-01-01,57.4103
2019-12-23,2019-12-23,1985-02-01,55.3203
2019-12-23,2019-12-23,1985-03-01,55.7542
2019-12-23,2019-12-23,1985-04-01,55.3177
2019-12-23,2019-12-23,1985-05-01,54.9468
2019-12-23,2019-12-23,1985-06-01,54.8747
2019-12-23,2019-12-23,1985-07-01,56.8902
2019-12-23,2019-12-23,1985-08-01,56.2151
2019-12-23,2019-12-23,1985-09-01,55.9357
2019-12-23,2019-12-23,1985-10-01,55.5805
2019-12-23,2019-12-23,1985-11-01,56.7543
2019-12-23,2019-12-23,1985-12-01,55.4889
2019-12-23,2019-12-23,1986-01-01,57.8727
2019-12-23,2019-12-23,1986-02-01,57.3683
2019-12-23,2019-12-23,1986-03-01,55.7156
2019-12-23,2019-12-23,1986-04-01,54.5570
2019-12-23,2019-12-23,1986-05-01,54.1402
2019-12-23,2019-12-23,1986-06-01,55.4462
2019-12-23,2019-12-23,1986-07-01,55.5424
2019-12-23,2019-12-23,1986-08-01,54.7120
2019-12-23,2019-12-23,1986-09-01,56.4834
2019-12-23,2019-12-23,1986-10-01,55.1579
2019-12-23,2019-12-23,1986-11-01,55.8963
2019-12-23,2019-12-23,1986-12-01,57.3525
2019-12-23,2019-12-23,1987-01-01,57.9261
2019-12-23,2019-12-23,1987-02-01,60.6747
2019-12-23,2019-12-23,1987-03-01,59.2297
2019-12-23,2019-12-23,1987-04-01,58.3728
2019-12-23,2019-12-23,1987-05-01,57.1155
2019-12-23,2019-12-23,1987-06-01,55.7340
2019-12-23,2019-12-23,1987-07-01,55.1546
2019-12-23,2019-12-23,1987-08-01,55.5526
2019-12-23,2019-12-23,1987-09-01,56.8270
2019-12-23,2019-12-23,1987-10-01,60.3125
2019-12-23,2019-12-23,1987-11-01,59.9561
2019-12-23,2019-12-23,1987-12-01,58.3940
2019-12-23,2019-12-23,1988-01-01,57.9854
2019-12-23,2019-12-23,1988-02-01,58.6317
2019-12-23,2019-12-23,1988-03-01,59.4006
2019-12-23,2019-12-23,1988-04-01,62.3171
2019-12-23,2019-12-23,1988-05-01,63.0192
2019-12-23,2019-12-23,1988-06-01,63.5691
2019-12-23,2019-12-23,1988-07-01,58.9674
2019-12-23,2019-12-23,1988-08-01,60.4728
2019-12-23,2019-12-23,1988-09-01,62.9748
2019-12-23,2019-12-23,1988-10-01,63.6944
2019-12-23,2019-12-23,1988-11-01,65.3531
2019-12-23,2019-12-23,1988-12-01,66.3793
2019-12-23,2019-12-23,1989-01-01,67.6010
2019-12-23,2019-12-23,1989-02-01,66.6353
2019-12-23,2019-12-23,1989-03-01,64.7062
2019-12-23,2019-12-23,1989-04-01,64.4053
2019-12-23,2019-12-23,1989-05-01,62.1237
2019-12-23,2019-12-23,1989-06-01,59.4346
2019-12-23,2019-12-23,1989-07-01,55.5562
2019-12-23,2019-12-23,1989-08-01,60.2311
2019-12-23,2019-12-23,1989-09-01,60.0320
2019-12-23,2019-12-23,1989-10-01,56.9876
2019-12-23,2019-12-23,1989-11-01,58.2042
2019-12-23,2019-12-23,1989-12-01,58.9173
2019-12-23,2019-12-23,1990-01-01,48.2331
2019-12-23,2019-12-23,1990-02-01,57.6697
2019-12-23,2019-12-23,1990-03-01,60.8127
2019-12-23,2019-12-23,1990-04-01,59.2951
2019-12-23,2019-12-23,1990-05-01,60.9341
