realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1972-01-01,35.4627
2019-12-23,2019-12-23,1972-02-01,36.5706
2019-12-23,2019-12-23,1972-03-01,37.1421
2019-12-23,2019-12-23,1972-04-01,37.8981
2019-12-23,2019-12-23,1972-05-01,38.0932
2019-12-23,2019-12-23,1972-06-01,39.0532
2019-12-23,2019-12-23,1972-07-01,36.3002
2019-12-23,2019-12-23,1972-08-01,37.8353
2019-12-23,2019-12-23,1972-09-01,39.5728
2019-12-23,2019-12-23,1972-10-01,40.4923
2019-12-23,2019-12-23,1972-11-01,40.1290
2019-12-23,2019-12-23,1972-12-01,39.2195
2019-12-23,2019-12-23,1973-01-01,39.1387
2019-12-23,2019-12-23,1973-02-01,40.8257
2019-12-23,2019-12-23,1973-03-01,41.2956
2019-12-23,2019-12-23,1973-04-01,41.3339
2019-12-23,2019-12-23,1973-05-01,41.8479
2019-12-23,2019-12-23,1973-06-01,42.8464
2019-12-23,2019-12-23,1973-07-01,40.4440
2019-12-23,2019-12-23,1973-08-01,40.9608
2019-12-23,2019-12-23,1973-09-01,42.9264
2019-12-23,2019-12-23,1973-10-01,43.6674
2019-12-23,2019-12-23,1973-11-01,43.1435
2019-12-23,2019-12-23,1973-12-01,41.4905
2019-12-23,2019-12-23,1974-01-01,40.8299
2019-12-23,2019-12-23,1974-02-01,41.6264
2019-12-23,2019-12-23,1974-03-01,42.0742
2019-12-23,2019-12-23,1974-04-01,41.6217
2019-12-23,2019-12-23,1974-05-01,42.5651
2019-12-23,2019-12-23,1974-06-01,43.5682
2019-12-23,2019-12-23,1974-07-01,40.9622
2019-12-23,2019-12-23,1974-08-01,41.4133
2019-12-23,2019-12-23,1974-09-01,42.8455
2019-12-23,2019-12-23,1974-10-01,42.8573
2019-12-23,2019-12-23,1974-11-01,40.7225
2019-12-23,2019-12-23,1974-12-01,37.7016
2019-12-23,2019-12-23,1975-01-01,36.3868
2019-12-23,2019-12-23,1975-02-01,36.1669
2019-12-23,2019-12-23,1975-03-01,35.9642
2019-12-23,2019-12-23,1975-04-01,36.2791
2019-12-23,2019-12-23,1975-05-01,36.2635
2019-12-23,2019-12-23,1975-06-01,37.4123
2019-12-23,2019-12-23,1975-07-01,35.5469
2019-12-23,2019-12-23,1975-08-01,37.0349
2019-12-23,2019-12-23,1975-09-01,38.7091
2019-12-23,2019-12-23,1975-10-01,39.1172
2019-12-23,2019-12-23,1975-11-01,38.5162
2019-12-23,2019-12-23,1975-12-01,37.7905
2019-12-23,2019-12-23,1976-01-01,37.8648
2019-12-23,2019-12-23,1976-02-01,39.4276
2019-12-23,2019-12-23,1976-03-01,40.0711
2019-12-23,2019-12-23,1976-04-01,39.9507
2019-12-23,2019-12-23,1976-05-01,40.8535
2019-12-23,2019-12-23,1976-06-01,41.7707
2019-12-23,2019-12-23,1976-07-01,39.4070
2019-12-23,2019-12-23,1976-08-01,40.5026
2019-12-23,2019-12-23,1976-09-01,41.6977
2019-12-23,2019-12-23,1976-10-01,42.0949
2019-12-23,2019-12-23,1976-11-01,41.8046
2019-12-23,2019-12-23,1976-12-01,40.9530
2019-12-23,2019-12-23,1977-01-01,40.3879
2019-12-23,2019-12-23,1977-02-01,42.1858
2019-12-23,2019-12-23,1977-03-01,43.5477
2019-12-23,2019-12-23,1977-04-01,43.8361
2019-12-23,2019-12-23,1977-05-01,44.5243
2019-12-23,2019-12-23,1977-06-01,45.8931
2019-12-23,2019-12-23,1977-07-01,43.1622
2019-12-23,2019-12-23,1977-08-01,43.9748
2019-12-23,2019-12-23,1977-09-01,45.3744
2019-12-23,2019-12-23,1977-10-01,45.8807
2019-12-23,2019-12-23,1977-11-01,44.9994
2019-12-23,2019-12-23,1977-12-01,44.2669
2019-12-23,2019-12-23,1978-01-01,43.1513
2019-12-23,2019-12-23,1978-02-01,44.4647
2019-12-23,2019-12-23,1978-03-01,45.8474
2019-12-23,2019-12-23,1978-04-01,47.0279
2019-12-23,2019-12-23,1978-05-01,47.0399
2019-12-23,2019-12-23,1978-06-01,48.3373
2019-12-23,2019-12-23,1978-07-01,45.3935
2019-12-23,2019-12-23,1978-08-01,46.4382
2019-12-23,2019-12-23,1978-09-01,48.2061
2019-12-23,2019-12-23,1978-10-01,48.9064
2019-12-23,2019-12-23,1978-11-01,48.2927
2019-12-23,2019-12-23,1978-12-01,47.4872
2019-12-23,2019-12-23,1979-01-01,46.4341
2019-12-23,2019-12-23,1979-02-01,47.9551
2019-12-23,2019-12-23,1979-03-01,49.1569
2019-12-23,2019-12-23,1979-04-01,47.6324
2019-12-23,2019-12-23,1979-05-01,48.9301
2019-12-23,2019-12-23,1979-06-01,49.9104
2019-12-23,2019-12-23,1979-07-01,47.1156
2019-12-23,2019-12-23,1979-08-01,47.4125
2019-12-23,2019-12-23,1979-09-01,48.8299
2019-12-23,2019-12-23,1979-10-01,49.1818
2019-12-23,2019-12-23,1979-11-01,48.0848
2019-12-23,2019-12-23,1979-12-01,47.2700
2019-12-23,2019-12-23,1980-01-01,46.8770
2019-12-23,2019-12-23,1980-02-01,47.9757
2019-12-23,2019-12-23,1980-03-01,48.4793
2019-12-23,2019-12-23,1980-04-01,47.0662
2019-12-23,2019-12-23,1980-05-01,45.6995
2019-12-23,2019-12-23,1980-06-01,45.8567
2019-12-23,2019-12-23,1980-07-01,42.8756
2019-12-23,2019-12-23,1980-08-01,44.4333
2019-12-23,2019-12-23,1980-09-01,46.1891
2019-12-23,2019-12-23,1980-10-01,47.0627
2019-12-23,2019-12-23,1980-11-01,47.0579
2019-12-23,2019-12-23,1980-12-01,46.2531
2019-12-23,2019-12-23,1981-01-01,45.6213
2019-12-23,2019-12-23,1981-02-01,46.4874
2019-12-23,2019-12-23,1981-03-01,47.4402
2019-12-23,2019-12-23,1981-04-01,47.1711
2019-12-23,2019-12-23,1981-05-01,47.6753
2019-12-23,2019-12-23,1981-06-01,48.3771
2019-12-23,2019-12-23,1981-07-01,46.0119
2019-12-23,2019-12-23,1981-08-01,47.1068
2019-12-23,2019-12-23,1981-09-01,47.5911
2019-12-23,2019-12-23,1981-10-01,47.3963
2019-12-23,2019-12-23,1981-11-01,45.9769
2019-12-23,2019-12-23,1981-12-01,44.3753
2019-12-23,2019-12-23,1982-01-01,42.8769
2019-12-23,2019-12-23,1982-02-01,45.0401
2019-12-23,2019-12-23,1982-03-01,45.3073
2019-12-23,2019-12-23,1982-04-01,44.5898
2019-12-23,2019-12-23,1982-05-01,44.7124
2019-12-23,2019-12-23,1982-06-01,45.6165
2019-12-23,2019-12-23,1982-07-01,43.3131
2019-12-23,2019-12-23,1982-08-01,43.9631
2019-12-23,2019-12-23,1982-09-01,44.6360
2019-12-23,2019-12-23,1982-10-01,44.2006
2019-12-23,2019-12-23,1982-11-01,43.0165
2019-12-23,2019-12-23,1982-12-01,41.9402
2019-12-23,2019-12-23,1983-01-01,42.7645
2019-12-23,2019-12-23,1983-02-01,43.6915
2019-12-23,2019-12-23,1983-03-01,44.7634
2019-12-23,2019-12-23,1983-04-01,45.0271
2019-12-23,2019-12-23,1983-05-01,45.7199
2019-12-23,2019-12-23,1983-06-01,47.1473
2019-12-23,2019-12-23,1983-07-01,45.3527
2019-12-23,2019-12-23,1983-08-01,46.7442
2019-12-23,2019-12-23,1983-09-01,48.7273
2019-12-23,2019-12-23,1983-10-01,49.2794
2019-12-23,2019-12-23,1983-11-01,48.3629
2019-12-23,2019-12-23,1983-12-01,47.3974
2019-12-23,2019-12-23,1984-01-01,48.2892
2019-12-23,2019-12-23,1984-02-01,49.9159
2019-12-23,2019-12-23,1984-03-01,50.8896
2019-12-23,2019-12-23,1984-04-01,50.8695
2019-12-23,2019-12-23,1984-05-01,51.0275
2019-12-23,2019-12-23,1984-06-01,52.3611
2019-12-23,2019-12-23,1984-07-01,49.8435
2019-12-23,2019-12-23,1984-08-01,51.1367
2019-12-23,2019-12-23,1984-09-01,52.1882
2019-12-23,2019-12-23,1984-10-01,52.3011
2019-12-23,2019-12-23,1984-11-01,51.3310
2019-12-23,2019-12-23,1984-12-01,50.3772
2019-12-23,2019-12-23,1985-01-01,50.2821
2019-12-23,2019-12-23,1985-02-01,51.1036
2019-12-23,2019-12-23,1985-03-01,52.1377
2019-12-23,2019-12-23,1985-04-01,51.5365
2019-12-23,2019-12-23,1985-05-01,51.8150
2019-12-23,2019-12-23,1985-06-01,53.0657
2019-12-23,2019-12-23,1985-07-01,50.0036
2019-12-23,2019-12-23,1985-08-01,51.6337
2019-12-23,2019-12-23,1985-09-01,52.8365
2019-12-23,2019-12-23,1985-10-01,52.6048
2019-12-23,2019-12-23,1985-11-01,51.8005
2019-12-23,2019-12-23,1985-12-01,50.9605
2019-12-23,2019-12-23,1986-01-01,51.5963
2019-12-23,2019-12-23,1986-02-01,52.3543
