realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1972-01-01,36.6924
2019-12-23,2019-12-23,1972-02-01,36.9567
2019-12-23,2019-12-23,1972-03-01,37.1965
2019-12-23,2019-12-23,1972-04-01,37.6440
2019-12-23,2019-12-23,1972-05-01,37.6836
2019-12-23,2019-12-23,1972-06-01,37.8022
2019-12-23,2019-12-23,1972-07-01,37.8128
2019-12-23,2019-12-23,1972-08-01,38.3031
2019-12-23,2019-12-23,1972-09-01,38.5731
2019-12-23,2019-12-23,1972-10-01,39.1695
2019-12-23,2019-12-23,1972-11-01,39.6756
2019-12-23,2019-12-23,1972-12-01,40.2595
2019-12-23,2019-12-23,1973-01-01,40.5321
2019-12-23,2019-12-23,1973-02-01,41.1963
2019-12-23,2019-12-23,1973-03-01,41.2768
2019-12-23,2019-12-23,1973-04-01,41.2179
2019-12-23,2019-12-23,1973-05-01,41.4853
2019-12-23,2019-12-23,1973-06-01,41.4705
2019-12-23,2019-12-23,1973-07-01,41.6769
2019-12-23,2019-12-23,1973-08-01,41.5521
2019-12-23,2019-12-23,1973-09-01,41.9460
2019-12-23,2019-12-23,1973-10-01,42.2962
2019-12-23,2019-12-23,1973-11-01,42.6218
2019-12-23,2019-12-23,1973-12-01,42.6488
2019-12-23,2019-12-23,1974-01-01,42.2744
2019-12-23,2019-12-23,1974-02-01,42.0910
2019-12-23,2019-12-23,1974-03-01,42.0853
2019-12-23,2019-12-23,1974-04-01,41.8849
2019-12-23,2019-12-23,1974-05-01,42.1703
2019-12-23,2019-12-23,1974-06-01,42.2289
2019-12-23,2019-12-23,1974-07-01,42.1487
2019-12-23,2019-12-23,1974-08-01,41.7946
2019-12-23,2019-12-23,1974-09-01,41.8679
2019-12-23,2019-12-23,1974-10-01,41.5436
2019-12-23,2019-12-23,1974-11-01,40.2681
2019-12-23,2019-12-23,1974-12-01,38.4303
2019-12-23,2019-12-23,1975-01-01,37.6185
2019-12-23,2019-12-23,1975-02-01,36.5552
2019-12-23,2019-12-23,1975-03-01,36.0622
2019-12-23,2019-12-23,1975-04-01,36.0197
2019-12-23,2019-12-23,1975-05-01,35.9752
2019-12-23,2019-12-23,1975-06-01,36.2888
2019-12-23,2019-12-23,1975-07-01,36.7949
2019-12-23,2019-12-23,1975-08-01,37.2038
2019-12-23,2019-12-23,1975-09-01,37.8323
2019-12-23,2019-12-23,1975-10-01,38.0382
2019-12-23,2019-12-23,1975-11-01,38.1558
2019-12-23,2019-12-23,1975-12-01,38.6430
2019-12-23,2019-12-23,1976-01-01,39.1713
2019-12-23,2019-12-23,1976-02-01,39.7897
2019-12-23,2019-12-23,1976-03-01,39.8599
2019-12-23,2019-12-23,1976-04-01,40.1054
2019-12-23,2019-12-23,1976-05-01,40.3213
2019-12-23,2019-12-23,1976-06-01,40.3277
2019-12-23,2019-12-23,1976-07-01,40.6281
2019-12-23,2019-12-23,1976-08-01,40.8932
2019-12-23,2019-12-23,1976-09-01,40.9732
2019-12-23,2019-12-23,1976-10-01,40.9448
2019-12-23,2019-12-23,1976-11-01,41.4707
2019-12-23,2019-12-23,1976-12-01,41.9129
2019-12-23,2019-12-23,1977-01-01,41.8246
2019-12-23,2019-12-23,1977-02-01,42.5735
2019-12-23,2019-12-23,1977-03-01,43.1864
2019-12-23,2019-12-23,1977-04-01,43.6171
2019-12-23,2019-12-23,1977-05-01,43.9977
2019-12-23,2019-12-23,1977-06-01,44.3683
2019-12-23,2019-12-23,1977-07-01,44.3774
2019-12-23,2019-12-23,1977-08-01,44.5811
2019-12-23,2019-12-23,1977-09-01,44.6218
2019-12-23,2019-12-23,1977-10-01,44.7390
2019-12-23,2019-12-23,1977-11-01,44.8220
2019-12-23,2019-12-23,1977-12-01,45.3241
2019-12-23,2019-12-23,1978-01-01,44.6628
2019-12-23,2019-12-23,1978-02-01,44.8005
2019-12-23,2019-12-23,1978-03-01,45.5864
2019-12-23,2019-12-23,1978-04-01,46.3441
2019-12-23,2019-12-23,1978-05-01,46.5230
2019-12-23,2019-12-23,1978-06-01,46.8963
2019-12-23,2019-12-23,1978-07-01,46.8701
2019-12-23,2019-12-23,1978-08-01,47.1209
2019-12-23,2019-12-23,1978-09-01,47.3703
2019-12-23,2019-12-23,1978-10-01,47.7231
2019-12-23,2019-12-23,1978-11-01,48.1665
2019-12-23,2019-12-23,1978-12-01,48.5285
2019-12-23,2019-12-23,1979-01-01,48.1248
2019-12-23,2019-12-23,1979-02-01,48.2899
2019-12-23,2019-12-23,1979-03-01,48.5268
2019-12-23,2019-12-23,1979-04-01,47.7418
2019-12-23,2019-12-23,1979-05-01,48.3654
2019-12-23,2019-12-23,1979-06-01,48.4134
2019-12-23,2019-12-23,1979-07-01,48.4609
2019-12-23,2019-12-23,1979-08-01,47.8120
2019-12-23,2019-12-23,1979-09-01,47.9403
2019-12-23,2019-12-23,1979-10-01,48.1137
2019-12-23,2019-12-23,1979-11-01,47.9685
2019-12-23,2019-12-23,1979-12-01,48.1560
2019-12-23,2019-12-23,1980-01-01,48.3631
2019-12-23,2019-12-23,1980-02-01,48.2709
