realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1919-01-01,4.9504
2019-12-23,2019-12-23,1919-02-01,4.8467
2019-12-23,2019-12-23,1919-03-01,4.6653
2019-12-23,2019-12-23,1919-04-01,4.7689
2019-12-23,2019-12-23,1919-05-01,4.7430
2019-12-23,2019-12-23,1919-06-01,5.0799
2019-12-23,2019-12-23,1919-07-01,5.3650
2019-12-23,2019-12-23,1919-08-01,5.4946
2019-12-23,2019-12-23,1919-09-01,5.2873
2019-12-23,2019-12-23,1919-10-01,5.1836
2019-12-23,2019-12-23,1919-11-01,5.3650
2019-12-23,2019-12-23,1919-12-01,5.2614
2019-12-23,2019-12-23,1920-01-01,5.8056
2019-12-23,2019-12-23,1920-02-01,5.8057
2019-12-23,2019-12-23,1920-03-01,5.6761
2019-12-23,2019-12-23,1920-04-01,5.3391
2019-12-23,2019-12-23,1920-05-01,5.5206
2019-12-23,2019-12-23,1920-06-01,5.5206
2019-12-23,2019-12-23,1920-07-01,5.3132
2019-12-23,2019-12-23,1920-08-01,5.3391
2019-12-23,2019-12-23,1920-09-01,5.2095
2019-12-23,2019-12-23,1920-10-01,4.9244
2019-12-23,2019-12-23,1920-11-01,4.4061
2019-12-23,2019-12-23,1920-12-01,4.0951
2019-12-23,2019-12-23,1921-01-01,3.8877
2019-12-23,2019-12-23,1921-02-01,3.8877
2019-12-23,2019-12-23,1921-03-01,3.7840
2019-12-23,2019-12-23,1921-04-01,3.7840
2019-12-23,2019-12-23,1921-05-01,3.9136
2019-12-23,2019-12-23,1921-06-01,3.8877
2019-12-23,2019-12-23,1921-07-01,3.8877
2019-12-23,2019-12-23,1921-08-01,4.0432
2019-12-23,2019-12-23,1921-09-01,4.0951
2019-12-23,2019-12-23,1921-10-01,4.2765
2019-12-23,2019-12-23,1921-11-01,4.3283
2019-12-23,2019-12-23,1921-12-01,4.2765
2019-12-23,2019-12-23,1922-01-01,4.3802
2019-12-23,2019-12-23,1922-02-01,4.4838
2019-12-23,2019-12-23,1922-03-01,4.6912
2019-12-23,2019-12-23,1922-04-01,4.8985
2019-12-23,2019-12-23,1922-05-01,5.1577
2019-12-23,2019-12-23,1922-06-01,5.3910
2019-12-23,2019-12-23,1922-07-01,5.4428
2019-12-23,2019-12-23,1922-08-01,5.2355
2019-12-23,2019-12-23,1922-09-01,5.3910
2019-12-23,2019-12-23,1922-10-01,5.6242
2019-12-23,2019-12-23,1922-11-01,5.8316
2019-12-23,2019-12-23,1922-12-01,6.0130
2019-12-23,2019-12-23,1923-01-01,5.9093
2019-12-23,2019-12-23,1923-02-01,5.9612
2019-12-23,2019-12-23,1923-03-01,6.2203
2019-12-23,2019-12-23,1923-04-01,6.2981
2019-12-23,2019-12-23,1923-05-01,6.4277
2019-12-23,2019-12-23,1923-06-01,6.3499
2019-12-23,2019-12-23,1923-07-01,6.2463
2019-12-23,2019-12-23,1923-08-01,6.0907
2019-12-23,2019-12-23,1923-09-01,6.0648
2019-12-23,2019-12-23,1923-10-01,5.9612
2019-12-23,2019-12-23,1923-11-01,5.9612
2019-12-23,2019-12-23,1923-12-01,5.8834
2019-12-23,2019-12-23,1924-01-01,5.9871
2019-12-23,2019-12-23,1924-02-01,6.1167
2019-12-23,2019-12-23,1924-03-01,6.0130
2019-12-23,2019-12-23,1924-04-01,5.8575
2019-12-23,2019-12-23,1924-05-01,5.5724
2019-12-23,2019-12-23,1924-06-01,5.2873
2019-12-23,2019-12-23,1924-07-01,5.2095
2019-12-23,2019-12-23,1924-08-01,5.3910
2019-12-23,2019-12-23,1924-09-01,5.5983
2019-12-23,2019-12-23,1924-10-01,5.7538
2019-12-23,2019-12-23,1924-11-01,5.8834
2019-12-23,2019-12-23,1924-12-01,6.0907
2019-12-23,2019-12-23,1925-01-01,6.2722
2019-12-23,2019-12-23,1925-02-01,6.2981
2019-12-23,2019-12-23,1925-03-01,6.3240
2019-12-23,2019-12-23,1925-04-01,6.3240
2019-12-23,2019-12-23,1925-05-01,6.2722
2019-12-23,2019-12-23,1925-06-01,6.2463
2019-12-23,2019-12-23,1925-07-01,6.3758
2019-12-23,2019-12-23,1925-08-01,6.2722
2019-12-23,2019-12-23,1925-09-01,6.2981
2019-12-23,2019-12-23,1925-10-01,6.5573
2019-12-23,2019-12-23,1925-11-01,6.7387
2019-12-23,2019-12-23,1925-12-01,6.8942
2019-12-23,2019-12-23,1926-01-01,6.7387
2019-12-23,2019-12-23,1926-02-01,6.6869
2019-12-23,2019-12-23,1926-03-01,6.6609
2019-12-23,2019-12-23,1926-04-01,6.6609
2019-12-23,2019-12-23,1926-05-01,6.6091
2019-12-23,2019-12-23,1926-06-01,6.6869
2019-12-23,2019-12-23,1926-07-01,6.6869
2019-12-23,2019-12-23,1926-08-01,6.7646
2019-12-23,2019-12-23,1926-09-01,6.8942
2019-12-23,2019-12-23,1926-10-01,6.8424
2019-12-23,2019-12-23,1926-11-01,6.7905
2019-12-23,2019-12-23,1926-12-01,6.7646
2019-12-23,2019-12-23,1927-01-01,6.7128
2019-12-23,2019-12-23,1927-02-01,6.7646
2019-12-23,2019-12-23,1927-03-01,6.8165
2019-12-23,2019-12-23,1927-04-01,6.7905
2019-12-23,2019-12-23,1927-05-01,6.8165
2019-12-23,2019-12-23,1927-06-01,6.8165
2019-12-23,2019-12-23,1927-07-01,6.7646
2019-12-23,2019-12-23,1927-08-01,6.7128
2019-12-23,2019-12-23,1927-09-01,6.6091
2019-12-23,2019-12-23,1927-10-01,6.5054
2019-12-23,2019-12-23,1927-11-01,6.4795
2019-12-23,2019-12-23,1927-12-01,6.5573
2019-12-23,2019-12-23,1928-01-01,6.6869
2019-12-23,2019-12-23,1928-02-01,6.7646
2019-12-23,2019-12-23,1928-03-01,6.7905
2019-12-23,2019-12-23,1928-04-01,6.7646
2019-12-23,2019-12-23,1928-05-01,6.8683
2019-12-23,2019-12-23,1928-06-01,6.9460
2019-12-23,2019-12-23,1928-07-01,7.0497
2019-12-23,2019-12-23,1928-08-01,7.2052
2019-12-23,2019-12-23,1928-09-01,7.2311
