realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1939-01-01,6.5117
2019-12-23,2019-12-23,1939-02-01,6.6150
2019-12-23,2019-12-23,1939-03-01,6.6150
2019-12-23,2019-12-23,1939-04-01,6.4083
2019-12-23,2019-12-23,1939-05-01,6.3825
2019-12-23,2019-12-23,1939-06-01,6.6925
2019-12-23,2019-12-23,1939-07-01,6.9768
2019-12-23,2019-12-23,1939-08-01,7.0543
2019-12-23,2019-12-23,1939-09-01,7.8553
2019-12-23,2019-12-23,1939-10-01,8.6047
2019-12-23,2019-12-23,1939-11-01,8.7597
2019-12-23,2019-12-23,1939-12-01,8.7597
2019-12-23,2019-12-23,1940-01-01,8.5272
2019-12-23,2019-12-23,1940-02-01,8.0621
2019-12-23,2019-12-23,1940-03-01,7.7520
2019-12-23,2019-12-23,1940-04-01,7.9845
2019-12-23,2019-12-23,1940-05-01,8.3463
2019-12-23,2019-12-23,1940-06-01,8.7856
2019-12-23,2019-12-23,1940-07-01,9.0181
2019-12-23,2019-12-23,1940-08-01,9.0957
2019-12-23,2019-12-23,1940-09-01,9.1990
2019-12-23,2019-12-23,1940-10-01,9.3024
2019-12-23,2019-12-23,1940-11-01,9.4833
2019-12-23,2019-12-23,1940-12-01,9.8192
2019-12-23,2019-12-23,1941-01-01,9.9484
2019-12-23,2019-12-23,1941-02-01,10.2326
2019-12-23,2019-12-23,1941-03-01,10.5944
2019-12-23,2019-12-23,1941-04-01,10.3618
2019-12-23,2019-12-23,1941-05-01,11.0078
2019-12-23,2019-12-23,1941-06-01,11.1628
2019-12-23,2019-12-23,1941-07-01,11.3179
2019-12-23,2019-12-23,1941-08-01,11.3954
2019-12-23,2019-12-23,1941-09-01,11.3954
2019-12-23,2019-12-23,1941-10-01,11.4471
2019-12-23,2019-12-23,1941-11-01,11.5246
2019-12-23,2019-12-23,1941-12-01,11.7572
2019-12-23,2019-12-23,1942-01-01,11.7830
2019-12-23,2019-12-23,1942-02-01,11.9639
2019-12-23,2019-12-23,1942-03-01,12.0672
2019-12-23,2019-12-23,1942-04-01,12.3773
2019-12-23,2019-12-23,1942-05-01,12.3515
2019-12-23,2019-12-23,1942-06-01,12.3773
2019-12-23,2019-12-23,1942-07-01,12.6099
2019-12-23,2019-12-23,1942-08-01,12.9716
2019-12-23,2019-12-23,1942-09-01,13.1267
2019-12-23,2019-12-23,1942-10-01,13.4884
2019-12-23,2019-12-23,1942-11-01,13.6952
2019-12-23,2019-12-23,1942-12-01,13.8502
2019-12-23,2019-12-23,1943-01-01,14.0569
2019-12-23,2019-12-23,1943-02-01,14.4187
2019-12-23,2019-12-23,1943-03-01,14.5737
2019-12-23,2019-12-23,1943-04-01,14.7029
2019-12-23,2019-12-23,1943-05-01,14.6771
2019-12-23,2019-12-23,1943-06-01,14.3153
2019-12-23,2019-12-23,1943-07-01,14.8580
2019-12-23,2019-12-23,1943-08-01,15.1422
2019-12-23,2019-12-23,1943-09-01,15.5298
2019-12-23,2019-12-23,1943-10-01,15.7882
2019-12-23,2019-12-23,1943-11-01,15.9174
2019-12-23,2019-12-23,1943-12-01,15.9174
2019-12-23,2019-12-23,1944-01-01,16.0724
2019-12-23,2019-12-23,1944-02-01,16.2016
2019-12-23,2019-12-23,1944-03-01,16.1241
2019-12-23,2019-12-23,1944-04-01,16.0724
2019-12-23,2019-12-23,1944-05-01,15.8399
2019-12-23,2019-12-23,1944-06-01,15.6073
2019-12-23,2019-12-23,1944-07-01,15.3747
2019-12-23,2019-12-23,1944-08-01,15.5556
2019-12-23,2019-12-23,1944-09-01,15.5298
2019-12-23,2019-12-23,1944-10-01,15.5815
2019-12-23,2019-12-23,1944-11-01,15.6073
2019-12-23,2019-12-23,1944-12-01,15.6848
2019-12-23,2019-12-23,1945-01-01,15.5040
2019-12-23,2019-12-23,1945-02-01,15.6590
2019-12-23,2019-12-23,1945-03-01,15.6848
2019-12-23,2019-12-23,1945-04-01,15.4523
2019-12-23,2019-12-23,1945-05-01,15.0388
2019-12-23,2019-12-23,1945-06-01,14.6512
2019-12-23,2019-12-23,1945-07-01,14.1086
2019-12-23,2019-12-23,1945-08-01,12.7908
2019-12-23,2019-12-23,1945-09-01,11.8347
2019-12-23,2019-12-23,1945-10-01,11.1887
2019-12-23,2019-12-23,1945-11-01,11.9639
2019-12-23,2019-12-23,1945-12-01,12.0931
2019-12-23,2019-12-23,1946-01-01,10.5944
2019-12-23,2019-12-23,1946-02-01,9.3282
2019-12-23,2019-12-23,1946-03-01,11.7313
2019-12-23,2019-12-23,1946-04-01,10.9561
2019-12-23,2019-12-23,1946-05-01,10.1293
2019-12-23,2019-12-23,1946-06-01,11.5505
2019-12-23,2019-12-23,1946-07-01,12.2223
2019-12-23,2019-12-23,1946-08-01,12.6874
2019-12-23,2019-12-23,1946-09-01,12.7649
2019-12-23,2019-12-23,1946-10-01,13.0492
2019-12-23,2019-12-23,1946-11-01,13.0233
2019-12-23,2019-12-23,1946-12-01,13.1008
2019-12-23,2019-12-23,1947-01-01,13.1008
2019-12-23,2019-12-23,1947-02-01,13.2042
2019-12-23,2019-12-23,1947-03-01,13.6435
2019-12-23,2019-12-23,1947-04-01,13.3076
2019-12-23,2019-12-23,1947-05-01,13.3592
2019-12-23,2019-12-23,1947-06-01,13.2300
2019-12-23,2019-12-23,1947-07-01,13.1008
2019-12-23,2019-12-23,1947-08-01,13.0750
2019-12-23,2019-12-23,1947-09-01,13.2559
2019-12-23,2019-12-23,1947-10-01,13.3592
2019-12-23,2019-12-23,1947-11-01,13.6693
2019-12-23,2019-12-23,1947-12-01,13.5143
2019-12-23,2019-12-23,1948-01-01,13.5660
2019-12-23,2019-12-23,1948-02-01,13.6435
2019-12-23,2019-12-23,1948-03-01,13.5143
2019-12-23,2019-12-23,1948-04-01,13.4109
2019-12-23,2019-12-23,1948-05-01,14.1086
2019-12-23,2019-12-23,1948-06-01,14.1344
2019-12-23,2019-12-23,1948-07-01,14.2378
2019-12-23,2019-12-23,1948-08-01,14.0569
2019-12-23,2019-12-23,1948-09-01,14.0827
2019-12-23,2019-12-23,1948-10-01,14.1086
2019-12-23,2019-12-23,1948-11-01,13.9794
2019-12-23,2019-12-23,1948-12-01,13.9019
2019-12-23,2019-12-23,1949-01-01,13.6435
2019-12-23,2019-12-23,1949-02-01,13.5660
2019-12-23,2019-12-23,1949-03-01,13.0233
2019-12-23,2019-12-23,1949-04-01,12.8424
2019-12-23,2019-12-23,1949-05-01,12.4807
2019-12-23,2019-12-23,1949-06-01,12.2998
2019-12-23,2019-12-23,1949-07-01,12.2481
2019-12-23,2019-12-23,1949-08-01,12.4548
2019-12-23,2019-12-23,1949-09-01,12.6616
2019-12-23,2019-12-23,1949-10-01,11.3696
2019-12-23,2019-12-23,1949-11-01,12.4290
2019-12-23,2019-12-23,1949-12-01,13.0233
2019-12-23,2019-12-23,1950-01-01,13.1267
2019-12-23,2019-12-23,1950-02-01,12.8941
2019-12-23,2019-12-23,1950-03-01,13.7727
2019-12-23,2019-12-23,1950-04-01,14.3412
2019-12-23,2019-12-23,1950-05-01,14.7546
2019-12-23,2019-12-23,1950-06-01,15.3231
2019-12-23,2019-12-23,1950-07-01,15.7365
2019-12-23,2019-12-23,1950-08-01,16.2016
2019-12-23,2019-12-23,1950-09-01,16.3825
2019-12-23,2019-12-23,1950-10-01,16.5892
2019-12-23,2019-12-23,1950-11-01,16.4084
2019-12-23,2019-12-23,1950-12-01,16.6667
2019-12-23,2019-12-23,1951-01-01,16.4859
2019-12-23,2019-12-23,1951-02-01,16.5892
2019-12-23,2019-12-23,1951-03-01,16.9252
2019-12-23,2019-12-23,1951-04-01,17.0544
2019-12-23,2019-12-23,1951-05-01,17.1836
2019-12-23,2019-12-23,1951-06-01,17.2611
2019-12-23,2019-12-23,1951-07-01,16.9510
2019-12-23,2019-12-23,1951-08-01,16.6667
2019-12-23,2019-12-23,1951-09-01,16.7701
2019-12-23,2019-12-23,1951-10-01,16.5376
2019-12-23,2019-12-23,1951-11-01,16.5892
2019-12-23,2019-12-23,1951-12-01,16.6151
2019-12-23,2019-12-23,1952-01-01,17.0027
2019-12-23,2019-12-23,1952-02-01,16.8476
2019-12-23,2019-12-23,1952-03-01,16.8476
2019-12-23,2019-12-23,1952-04-01,16.5376
2019-12-23,2019-12-23,1952-05-01,16.3050
2019-12-23,2019-12-23,1952-06-01,15.3748
2019-12-23,2019-12-23,1952-07-01,15.0388
2019-12-23,2019-12-23,1952-08-01,16.9510
2019-12-23,2019-12-23,1952-09-01,18.0621
2019-12-23,2019-12-23,1952-10-01,17.9587
2019-12-23,2019-12-23,1952-11-01,18.5014
2019-12-23,2019-12-23,1952-12-01,18.5531
2019-12-23,2019-12-23,1953-01-01,18.4497
2019-12-23,2019-12-23,1953-02-01,18.8890
