realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1919-01-01,25.0624
2019-12-23,2019-12-23,1919-02-01,22.1397
2019-12-23,2019-12-23,1919-03-01,21.1167
2019-12-23,2019-12-23,1919-04-01,22.5781
2019-12-23,2019-12-23,1919-05-01,23.5280
2019-12-23,2019-12-23,1919-06-01,24.1856
2019-12-23,2019-12-23,1919-07-01,25.6470
2019-12-23,2019-12-23,1919-08-01,24.9163
2019-12-23,2019-12-23,1919-09-01,26.8892
2019-12-23,2019-12-23,1919-10-01,27.6929
2019-12-23,2019-12-23,1919-11-01,19.9477
2019-12-23,2019-12-23,1919-12-01,24.4048
2019-12-23,2019-12-23,1920-01-01,27.2545
2019-12-23,2019-12-23,1920-02-01,26.8892
2019-12-23,2019-12-23,1920-03-01,27.5468
2019-12-23,2019-12-23,1920-04-01,25.9393
2019-12-23,2019-12-23,1920-05-01,26.8891
2019-12-23,2019-12-23,1920-06-01,28.0582
2019-12-23,2019-12-23,1920-07-01,27.9121
2019-12-23,2019-12-23,1920-08-01,28.8620
2019-12-23,2019-12-23,1920-09-01,26.8892
2019-12-23,2019-12-23,1920-10-01,28.9351
2019-12-23,2019-12-23,1920-11-01,29.7388
2019-12-23,2019-12-23,1920-12-01,30.0311
2019-12-23,2019-12-23,1921-01-01,25.8662
2019-12-23,2019-12-23,1921-02-01,24.5510
2019-12-23,2019-12-23,1921-03-01,22.8704
2019-12-23,2019-12-23,1921-04-01,22.8704
2019-12-23,2019-12-23,1921-05-01,23.3088
2019-12-23,2019-12-23,1921-06-01,22.4320
2019-12-23,2019-12-23,1921-07-01,21.4821
2019-12-23,2019-12-23,1921-08-01,21.7013
2019-12-23,2019-12-23,1921-09-01,21.2629
2019-12-23,2019-12-23,1921-10-01,22.6512
2019-12-23,2019-12-23,1921-11-01,21.7013
2019-12-23,2019-12-23,1921-12-01,21.9936
2019-12-23,2019-12-23,1922-01-01,24.4779
2019-12-23,2019-12-23,1922-02-01,26.9622
2019-12-23,2019-12-23,1922-03-01,29.0812
2019-12-23,2019-12-23,1922-04-01,16.8788
2019-12-23,2019-12-23,1922-05-01,17.0980
2019-12-23,2019-12-23,1922-06-01,18.7055
2019-12-23,2019-12-23,1922-07-01,17.9748
2019-12-23,2019-12-23,1922-08-01,19.8015
2019-12-23,2019-12-23,1922-09-01,25.9393
2019-12-23,2019-12-23,1922-10-01,28.5697
2019-12-23,2019-12-23,1922-11-01,29.9580
2019-12-23,2019-12-23,1922-12-01,31.8578
2019-12-23,2019-12-23,1923-01-01,31.5655
2019-12-23,2019-12-23,1923-02-01,31.7847
2019-12-23,2019-12-23,1923-03-01,32.9538
2019-12-23,2019-12-23,1923-04-01,35.1459
2019-12-23,2019-12-23,1923-05-01,34.2691
2019-12-23,2019-12-23,1923-06-01,34.1960
2019-12-23,2019-12-23,1923-07-01,34.9997
2019-12-23,2019-12-23,1923-08-01,34.6344
2019-12-23,2019-12-23,1923-09-01,31.8578
2019-12-23,2019-12-23,1923-10-01,33.3922
2019-12-23,2019-12-23,1923-11-01,33.3923
2019-12-23,2019-12-23,1923-12-01,31.1271
2019-12-23,2019-12-23,1924-01-01,32.1501
2019-12-23,2019-12-23,1924-02-01,33.4653
2019-12-23,2019-12-23,1924-03-01,31.5655
2019-12-23,2019-12-23,1924-04-01,29.2273
2019-12-23,2019-12-23,1924-05-01,29.3735
2019-12-23,2019-12-23,1924-06-01,29.2274
2019-12-23,2019-12-23,1924-07-01,29.1543
2019-12-23,2019-12-23,1924-08-01,28.8620
2019-12-23,2019-12-23,1924-09-01,30.8349
2019-12-23,2019-12-23,1924-10-01,30.6157
2019-12-23,2019-12-23,1924-11-01,30.1773
2019-12-23,2019-12-23,1924-12-01,30.7618
2019-12-23,2019-12-23,1925-01-01,32.0039
2019-12-23,2019-12-23,1925-02-01,31.1271
2019-12-23,2019-12-23,1925-03-01,30.2503
2019-12-23,2019-12-23,1925-04-01,31.9309
2019-12-23,2019-12-23,1925-05-01,32.8808
2019-12-23,2019-12-23,1925-06-01,32.5885
2019-12-23,2019-12-23,1925-07-01,33.1000
2019-12-23,2019-12-23,1925-08-01,33.8307
2019-12-23,2019-12-23,1925-09-01,29.1543
2019-12-23,2019-12-23,1925-10-01,29.0812
2019-12-23,2019-12-23,1925-11-01,29.6658
2019-12-23,2019-12-23,1925-12-01,29.3735
2019-12-23,2019-12-23,1926-01-01,28.9351
2019-12-23,2019-12-23,1926-02-01,30.2503
2019-12-23,2019-12-23,1926-03-01,33.3922
2019-12-23,2019-12-23,1926-04-01,33.4653
2019-12-23,2019-12-23,1926-05-01,32.7346
2019-12-23,2019-12-23,1926-06-01,33.7576
2019-12-23,2019-12-23,1926-07-01,34.1960
2019-12-23,2019-12-23,1926-08-01,34.4152
2019-12-23,2019-12-23,1926-09-01,34.8536
2019-12-23,2019-12-23,1926-10-01,35.6573
2019-12-23,2019-12-23,1926-11-01,36.9726
2019-12-23,2019-12-23,1926-12-01,37.0457
2019-12-23,2019-12-23,1927-01-01,36.0958
2019-12-23,2019-12-23,1927-02-01,36.6803
2019-12-23,2019-12-23,1927-03-01,38.4339
2019-12-23,2019-12-23,1927-04-01,33.8306
2019-12-23,2019-12-23,1927-05-01,34.0498
2019-12-23,2019-12-23,1927-06-01,33.6114
