realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1972-01-01,115.5041
2019-12-23,2019-12-23,1972-02-01,125.3673
2019-12-23,2019-12-23,1972-03-01,140.4205
2019-12-23,2019-12-23,1972-04-01,143.4673
2019-12-23,2019-12-23,1972-05-01,143.6444
2019-12-23,2019-12-23,1972-06-01,136.3585
2019-12-23,2019-12-23,1972-07-01,123.9780
2019-12-23,2019-12-23,1972-08-01,130.1895
2019-12-23,2019-12-23,1972-09-01,136.2822
2019-12-23,2019-12-23,1972-10-01,140.8728
2019-12-23,2019-12-23,1972-11-01,142.8595
2019-12-23,2019-12-23,1972-12-01,142.5958
2019-12-23,2019-12-23,1973-01-01,150.5555
2019-12-23,2019-12-23,1973-02-01,158.7805
2019-12-23,2019-12-23,1973-03-01,161.0292
2019-12-23,2019-12-23,1973-04-01,163.0249
2019-12-23,2019-12-23,1973-05-01,163.3042
2019-12-23,2019-12-23,1973-06-01,161.6599
2019-12-23,2019-12-23,1973-07-01,152.9801
2019-12-23,2019-12-23,1973-08-01,154.7484
2019-12-23,2019-12-23,1973-09-01,163.9866
2019-12-23,2019-12-23,1973-10-01,167.6043
2019-12-23,2019-12-23,1973-11-01,171.8804
2019-12-23,2019-12-23,1973-12-01,170.3641
2019-12-23,2019-12-23,1974-01-01,173.5099
2019-12-23,2019-12-23,1974-02-01,177.1305
2019-12-23,2019-12-23,1974-03-01,180.9821
2019-12-23,2019-12-23,1974-04-01,181.7845
2019-12-23,2019-12-23,1974-05-01,183.7138
2019-12-23,2019-12-23,1974-06-01,181.2462
2019-12-23,2019-12-23,1974-07-01,174.5156
2019-12-23,2019-12-23,1974-08-01,170.2630
2019-12-23,2019-12-23,1974-09-01,177.2628
2019-12-23,2019-12-23,1974-10-01,180.8573
2019-12-23,2019-12-23,1974-11-01,169.2884
2019-12-23,2019-12-23,1974-12-01,151.1432
2019-12-23,2019-12-23,1975-01-01,159.3756
2019-12-23,2019-12-23,1975-02-01,164.2218
2019-12-23,2019-12-23,1975-03-01,160.8713
2019-12-23,2019-12-23,1975-04-01,146.2287
2019-12-23,2019-12-23,1975-05-01,131.6893
2019-12-23,2019-12-23,1975-06-01,117.6676
2019-12-23,2019-12-23,1975-07-01,108.3863
2019-12-23,2019-12-23,1975-08-01,111.0966
2019-12-23,2019-12-23,1975-09-01,120.6495
2019-12-23,2019-12-23,1975-10-01,116.1070
2019-12-23,2019-12-23,1975-11-01,112.9035
2019-12-23,2019-12-23,1975-12-01,109.3002
2019-12-23,2019-12-23,1976-01-01,121.5604
2019-12-23,2019-12-23,1976-02-01,129.6915
2019-12-23,2019-12-23,1976-03-01,137.4252
2019-12-23,2019-12-23,1976-04-01,143.1164
2019-12-23,2019-12-23,1976-05-01,144.7362
2019-12-23,2019-12-23,1976-06-01,145.1998
2019-12-23,2019-12-23,1976-07-01,135.6020
2019-12-23,2019-12-23,1976-08-01,135.4083
2019-12-23,2019-12-23,1976-09-01,132.8124
2019-12-23,2019-12-23,1976-10-01,125.1100
2019-12-23,2019-12-23,1976-11-01,121.6367
2019-12-23,2019-12-23,1976-12-01,115.1139
2019-12-23,2019-12-23,1977-01-01,115.1012
2019-12-23,2019-12-23,1977-02-01,125.0421
2019-12-23,2019-12-23,1977-03-01,143.0160
2019-12-23,2019-12-23,1977-04-01,146.9805
2019-12-23,2019-12-23,1977-05-01,154.1939
2019-12-23,2019-12-23,1977-06-01,150.0752
2019-12-23,2019-12-23,1977-07-01,129.1475
2019-12-23,2019-12-23,1977-08-01,132.3909
2019-12-23,2019-12-23,1977-09-01,132.2031
2019-12-23,2019-12-23,1977-10-01,132.6544
2019-12-23,2019-12-23,1977-11-01,128.7198
2019-12-23,2019-12-23,1977-12-01,127.4431
2019-12-23,2019-12-23,1978-01-01,131.3614
2019-12-23,2019-12-23,1978-02-01,135.3305
2019-12-23,2019-12-23,1978-03-01,139.6854
2019-12-23,2019-12-23,1978-04-01,150.1074
2019-12-23,2019-12-23,1978-05-01,155.0491
2019-12-23,2019-12-23,1978-06-01,152.5566
2019-12-23,2019-12-23,1978-07-01,140.4374
2019-12-23,2019-12-23,1978-08-01,145.2329
2019-12-23,2019-12-23,1978-09-01,148.6967
2019-12-23,2019-12-23,1978-10-01,151.8393
2019-12-23,2019-12-23,1978-11-01,152.1747
2019-12-23,2019-12-23,1978-12-01,148.1628
2019-12-23,2019-12-23,1979-01-01,141.2238
2019-12-23,2019-12-23,1979-02-01,149.7791
2019-12-23,2019-12-23,1979-03-01,161.2815
2019-12-23,2019-12-23,1979-04-01,160.9357
2019-12-23,2019-12-23,1979-05-01,163.9015
2019-12-23,2019-12-23,1979-06-01,165.6737
2019-12-23,2019-12-23,1979-07-01,153.4922
2019-12-23,2019-12-23,1979-08-01,150.4490
2019-12-23,2019-12-23,1979-09-01,146.2352
2019-12-23,2019-12-23,1979-10-01,144.4046
2019-12-23,2019-12-23,1979-11-01,137.3267
2019-12-23,2019-12-23,1979-12-01,132.7056
2019-12-23,2019-12-23,1980-01-01,144.3586
2019-12-23,2019-12-23,1980-02-01,152.1121
2019-12-23,2019-12-23,1980-03-01,157.8962
2019-12-23,2019-12-23,1980-04-01,152.7502
2019-12-23,2019-12-23,1980-05-01,126.7492
2019-12-23,2019-12-23,1980-06-01,109.3649
2019-12-23,2019-12-23,1980-07-01,94.4221
2019-12-23,2019-12-23,1980-08-01,98.4744
2019-12-23,2019-12-23,1980-09-01,113.6470
2019-12-23,2019-12-23,1980-10-01,130.3549
2019-12-23,2019-12-23,1980-11-01,140.7479
2019-12-23,2019-12-23,1980-12-01,135.1054
2019-12-23,2019-12-23,1981-01-01,141.0712
2019-12-23,2019-12-23,1981-02-01,150.4406
2019-12-23,2019-12-23,1981-03-01,155.9557
2019-12-23,2019-12-23,1981-04-01,153.7698
2019-12-23,2019-12-23,1981-05-01,149.2299
2019-12-23,2019-12-23,1981-06-01,140.4522
2019-12-23,2019-12-23,1981-07-01,131.6597
2019-12-23,2019-12-23,1981-08-01,130.8401
2019-12-23,2019-12-23,1981-09-01,132.2617
2019-12-23,2019-12-23,1981-10-01,119.8512
2019-12-23,2019-12-23,1981-11-01,111.8671
2019-12-23,2019-12-23,1981-12-01,105.0393
2019-12-23,2019-12-23,1982-01-01,107.8188
2019-12-23,2019-12-23,1982-02-01,110.8031
2019-12-23,2019-12-23,1982-03-01,110.1232
2019-12-23,2019-12-23,1982-04-01,99.3146
2019-12-23,2019-12-23,1982-05-01,87.3020
2019-12-23,2019-12-23,1982-06-01,81.0865
2019-12-23,2019-12-23,1982-07-01,71.5614
2019-12-23,2019-12-23,1982-08-01,68.7505
2019-12-23,2019-12-23,1982-09-01,67.8030
2019-12-23,2019-12-23,1982-10-01,63.4657
2019-12-23,2019-12-23,1982-11-01,57.2175
2019-12-23,2019-12-23,1982-12-01,52.6299
2019-12-23,2019-12-23,1983-01-01,65.8090
2019-12-23,2019-12-23,1983-02-01,73.3889
2019-12-23,2019-12-23,1983-03-01,81.9195
2019-12-23,2019-12-23,1983-04-01,82.9420
2019-12-23,2019-12-23,1983-05-01,82.6108
2019-12-23,2019-12-23,1983-06-01,80.6604
2019-12-23,2019-12-23,1983-07-01,74.9366
2019-12-23,2019-12-23,1983-08-01,77.5910
2019-12-23,2019-12-23,1983-09-01,80.0534
2019-12-23,2019-12-23,1983-10-01,84.2691
2019-12-23,2019-12-23,1983-11-01,83.0254
2019-12-23,2019-12-23,1983-12-01,85.6912
2019-12-23,2019-12-23,1984-01-01,88.6212
2019-12-23,2019-12-23,1984-02-01,97.4996
2019-12-23,2019-12-23,1984-03-01,101.5122
2019-12-23,2019-12-23,1984-04-01,104.8211
2019-12-23,2019-12-23,1984-05-01,104.6357
2019-12-23,2019-12-23,1984-06-01,94.5132
2019-12-23,2019-12-23,1984-07-01,82.9026
2019-12-23,2019-12-23,1984-08-01,78.2179
2019-12-23,2019-12-23,1984-09-01,76.2943
2019-12-23,2019-12-23,1984-10-01,77.3099
2019-12-23,2019-12-23,1984-11-01,73.1127
2019-12-23,2019-12-23,1984-12-01,66.3454
2019-12-23,2019-12-23,1985-01-01,78.1993
2019-12-23,2019-12-23,1985-02-01,83.9307
2019-12-23,2019-12-23,1985-03-01,89.8057
2019-12-23,2019-12-23,1985-04-01,87.0057
2019-12-23,2019-12-23,1985-05-01,83.6035
2019-12-23,2019-12-23,1985-06-01,80.0931
