realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1947-01-01,23.8448
2019-12-23,2019-12-23,1947-02-01,23.4842
2019-12-23,2019-12-23,1947-03-01,23.4391
2019-12-23,2019-12-23,1947-04-01,23.2588
2019-12-23,2019-12-23,1947-05-01,23.0785
2019-12-23,2019-12-23,1947-06-01,23.0785
2019-12-23,2019-12-23,1947-07-01,23.3039
2019-12-23,2019-12-23,1947-08-01,23.5744
2019-12-23,2019-12-23,1947-09-01,23.7096
2019-12-23,2019-12-23,1947-10-01,24.0251
2019-12-23,2019-12-23,1947-11-01,24.2956
2019-12-23,2019-12-23,1947-12-01,24.2505
2019-12-23,2019-12-23,1948-01-01,24.1603
2019-12-23,2019-12-23,1948-02-01,24.3857
2019-12-23,2019-12-23,1948-03-01,24.0251
2019-12-23,2019-12-23,1948-04-01,24.3406
2019-12-23,2019-12-23,1948-05-01,24.3406
2019-12-23,2019-12-23,1948-06-01,24.5209
2019-12-23,2019-12-23,1948-07-01,24.2505
2019-12-23,2019-12-23,1948-08-01,24.0702
2019-12-23,2019-12-23,1948-09-01,24.1152
2019-12-23,2019-12-23,1948-10-01,24.2505
2019-12-23,2019-12-23,1948-11-01,24.2955
2019-12-23,2019-12-23,1948-12-01,24.1152
2019-12-23,2019-12-23,1949-01-01,23.9800
2019-12-23,2019-12-23,1949-02-01,24.0702
2019-12-23,2019-12-23,1949-03-01,24.2955
2019-12-23,2019-12-23,1949-04-01,24.2054
2019-12-23,2019-12-23,1949-05-01,24.2955
2019-12-23,2019-12-23,1949-06-01,24.3406
2019-12-23,2019-12-23,1949-07-01,24.4308
2019-12-23,2019-12-23,1949-08-01,24.7012
2019-12-23,2019-12-23,1949-09-01,24.7914
2019-12-23,2019-12-23,1949-10-01,24.8815
2019-12-23,2019-12-23,1949-11-01,24.7914
2019-12-23,2019-12-23,1949-12-01,24.6111
2019-12-23,2019-12-23,1950-01-01,25.0618
2019-12-23,2019-12-23,1950-02-01,25.0618
2019-12-23,2019-12-23,1950-03-01,25.4224
2019-12-23,2019-12-23,1950-04-01,25.8281
2019-12-23,2019-12-23,1950-05-01,26.0084
2019-12-23,2019-12-23,1950-06-01,26.2338
2019-12-23,2019-12-23,1950-07-01,26.7747
2019-12-23,2019-12-23,1950-08-01,27.7663
2019-12-23,2019-12-23,1950-09-01,27.3607
2019-12-23,2019-12-23,1950-10-01,27.1804
2019-12-23,2019-12-23,1950-11-01,27.2254
2019-12-23,2019-12-23,1950-12-01,28.0368
2019-12-23,2019-12-23,1951-01-01,28.3974
2019-12-23,2019-12-23,1951-02-01,28.3523
2019-12-23,2019-12-23,1951-03-01,27.8114
2019-12-23,2019-12-23,1951-04-01,27.6762
2019-12-23,2019-12-23,1951-05-01,27.4057
2019-12-23,2019-12-23,1951-06-01,27.3607
2019-12-23,2019-12-23,1951-07-01,27.1353
2019-12-23,2019-12-23,1951-08-01,26.8648
2019-12-23,2019-12-23,1951-09-01,26.8648
2019-12-23,2019-12-23,1951-10-01,26.8198
2019-12-23,2019-12-23,1951-11-01,27.1804
2019-12-23,2019-12-23,1951-12-01,27.3607
2019-12-23,2019-12-23,1952-01-01,27.6311
2019-12-23,2019-12-23,1952-02-01,27.9466
2019-12-23,2019-12-23,1952-03-01,27.9917
2019-12-23,2019-12-23,1952-04-01,28.0368
2019-12-23,2019-12-23,1952-05-01,27.7213
2019-12-23,2019-12-23,1952-06-01,28.7129
2019-12-23,2019-12-23,1952-07-01,28.8031
2019-12-23,2019-12-23,1952-08-01,28.8932
2019-12-23,2019-12-23,1952-09-01,28.8932
2019-12-23,2019-12-23,1952-10-01,29.1186
2019-12-23,2019-12-23,1952-11-01,29.4341
2019-12-23,2019-12-23,1952-12-01,29.3890
2019-12-23,2019-12-23,1953-01-01,29.3440
2019-12-23,2019-12-23,1953-02-01,29.5243
2019-12-23,2019-12-23,1953-03-01,29.3890
2019-12-23,2019-12-23,1953-04-01,29.5243
2019-12-23,2019-12-23,1953-05-01,29.6144
2019-12-23,2019-12-23,1953-06-01,29.5243
2019-12-23,2019-12-23,1953-07-01,29.4341
2019-12-23,2019-12-23,1953-08-01,29.3440
2019-12-23,2019-12-23,1953-09-01,29.1637
