realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1954-01-01,22.8512
2019-12-23,2019-12-23,1954-02-01,23.0892
2019-12-23,2019-12-23,1954-03-01,23.2206
2019-12-23,2019-12-23,1954-04-01,23.2316
2019-12-23,2019-12-23,1954-05-01,23.5256
2019-12-23,2019-12-23,1954-06-01,23.5537
2019-12-23,2019-12-23,1954-07-01,23.8475
2019-12-23,2019-12-23,1954-08-01,23.9968
2019-12-23,2019-12-23,1954-09-01,23.9944
2019-12-23,2019-12-23,1954-10-01,24.4298
2019-12-23,2019-12-23,1954-11-01,24.7652
2019-12-23,2019-12-23,1954-12-01,25.0945
2019-12-23,2019-12-23,1955-01-01,25.4732
2019-12-23,2019-12-23,1955-02-01,25.9743
2019-12-23,2019-12-23,1955-03-01,26.4974
2019-12-23,2019-12-23,1955-04-01,26.6794
2019-12-23,2019-12-23,1955-05-01,27.1054
2019-12-23,2019-12-23,1955-06-01,27.3171
2019-12-23,2019-12-23,1955-07-01,27.4591
2019-12-23,2019-12-23,1955-08-01,27.3690
2019-12-23,2019-12-23,1955-09-01,27.8135
2019-12-23,2019-12-23,1955-10-01,28.2354
2019-12-23,2019-12-23,1955-11-01,28.0713
2019-12-23,2019-12-23,1955-12-01,28.6939
2019-12-23,2019-12-23,1956-01-01,28.6099
2019-12-23,2019-12-23,1956-02-01,28.6205
2019-12-23,2019-12-23,1956-03-01,28.6440
2019-12-23,2019-12-23,1956-04-01,28.8821
2019-12-23,2019-12-23,1956-05-01,28.6099
2019-12-23,2019-12-23,1956-06-01,28.1753
2019-12-23,2019-12-23,1956-07-01,27.8751
2019-12-23,2019-12-23,1956-08-01,28.0803
2019-12-23,2019-12-23,1956-09-01,28.3691
2019-12-23,2019-12-23,1956-10-01,28.5775
2019-12-23,2019-12-23,1956-11-01,28.4343
2019-12-23,2019-12-23,1956-12-01,28.6598
2019-12-23,2019-12-23,1957-01-01,28.7009
2019-12-23,2019-12-23,1957-02-01,28.6638
2019-12-23,2019-12-23,1957-03-01,28.7112
2019-12-23,2019-12-23,1957-04-01,28.3116
2019-12-23,2019-12-23,1957-05-01,28.4023
2019-12-23,2019-12-23,1957-06-01,28.1796
2019-12-23,2019-12-23,1957-07-01,28.0847
2019-12-23,2019-12-23,1957-08-01,28.5794
2019-12-23,2019-12-23,1957-09-01,28.5813
2019-12-23,2019-12-23,1957-10-01,28.3429
2019-12-23,2019-12-23,1957-11-01,28.0148
